GO	[-1.00 -0.55]	[-0.55 -0.13]	[-0.13 0.17]	[0.17 0.36]	[0.36 0.52]	[0.52 0.67]	[0.67 0.80]	[0.80 0.92]	[0.92 0.99]	[0.99 1.00]	[1.00 1.00]
MIR5087 MIR5087	0.379	-1.540	-0.235	-0.399	-1.008	-2.369	-0.235	0.379	2.348	-0.235	1.918
MIR3166 MIR3166	1.645	-1.155	-0.301	-0.490	-1.155	0.702	-0.301	-1.717	2.484	0.972	-1.147
MIR3925_3P MIR3925_3P	-1.521	-1.521	-0.302	-0.439	0.594	-1.149	-0.302	-1.149	1.254	1.005	3.347
MIR3118 MIR3118	-0.766	-0.408	0.716	1.080	-0.766	-1.411	1.514	0.427	1.514	-1.411	-0.761
MIR134_5P MIR134_5P	-0.734	-0.385	0.754	1.131	-0.734	-1.369	1.580	0.230	1.580	-1.369	-0.730
CAGCCTC_MIR4855P CAGCCTC_MIR4855P	-0.579	-1.202	0.366	-1.202	-0.845	-2.335	0.749	0.749	0.539	0.749	2.786
MIR657 MIR657	-1.827	0.684	-1.093	-1.827	-0.373	0.430	0.684	0.239	0.239	0.430	2.297
MIR5704 MIR5704	1.649	-0.703	-0.703	0.794	-0.703	-1.328	-0.363	0.794	-1.328	0.247	1.658
