GO	[-6.10 -0.90]	[-0.90 -0.61]	[-0.61 -0.42]	[-0.42 -0.26]	[-0.26 -0.15]	[-0.15 0.00]	[0.00 0.12]	[0.12 0.37]	[0.37 0.81]	[0.81 1.72]	[1.72 10.00]
MORF_G22P1 MORF_G22P1	1.009	13.163	9.538	1.671	-1.115	-0.888	-2.970	-2.058	-5.004	-7.254	-7.254
MORF_FBL MORF_FBL	6.243	14.963	3.544	0.404	-1.289	-0.774	-3.100	-3.808	-4.694	-5.883	-5.883
GNF2_FBL GNF2_FBL	0.748	5.743	13.358	3.201	-0.382	-0.895	-4.973	-4.066	-3.337	-6.182	-6.182
MORF_PRKDC MORF_PRKDC	8.095	12.561	1.227	0.857	-0.477	-0.615	-3.000	-1.778	-3.000	-8.029	-8.029
GNF2_RAN GNF2_RAN	13.855	10.631	1.060	-1.915	-1.011	-1.402	-2.603	-3.593	-3.593	-3.593	-3.593
MORF_HAT1 MORF_HAT1	3.776	9.928	5.833	1.616	-1.424	-0.319	-2.110	-2.537	-6.059	-6.059	-7.340
GNF2_HCK GNF2_HCK	-2.148	-2.867	-2.867	-3.888	-3.888	-2.148	-1.604	-0.860	0.870	7.629	17.815
MORF_ANP32B MORF_ANP32B	0.729	7.052	7.526	3.421	-0.440	0.729	-2.335	-2.335	-4.419	-8.375	-8.375
MORF_NPM1 MORF_NPM1	-0.934	2.259	10.453	6.635	0.665	-0.311	-2.668	-0.934	-5.574	-6.825	-6.825
MORF_RFC4 MORF_RFC4	5.475	10.940	1.769	0.681	-0.426	-0.311	-1.909	-1.540	-6.353	-6.353	-6.353
MORF_RAD21 MORF_RAD21	0.442	3.546	7.394	7.394	-1.249	0.442	-3.186	-1.532	-1.860	-7.555	-7.555
GNF2_EIF3S6 GNF2_EIF3S6	-1.949	0.877	11.713	7.264	0.684	0.262	-2.472	-2.472	-3.120	-5.074	-5.074
MORF_DAP3 MORF_DAP3	1.324	6.782	4.648	3.547	-0.410	-0.533	-1.894	-0.533	-4.316	-6.915	-8.245
MORF_PPP1CC MORF_PPP1CC	5.887	8.392	1.846	0.606	0.606	-0.613	-1.556	-1.556	-4.777	-6.996	-5.735
GNF2_PA2G4 GNF2_PA2G4	7.259	10.926	1.610	-0.384	-1.686	-1.206	-2.342	-2.342	-3.298	-3.298	-3.298
MORF_RAD23B MORF_RAD23B	0.363	2.078	12.114	2.666	-0.337	-0.450	-2.594	-0.588	-1.789	-6.140	-7.426
GCM_ACTG1 GCM_ACTG1	0.473	4.016	3.189	4.016	1.259	1.024	-2.569	-3.228	-5.202	-5.202	-5.202
GNF2_DAP3 GNF2_DAP3	-0.874	4.263	8.544	4.263	0.532	-0.874	-1.920	-1.920	-3.085	-5.032	-5.032
MORF_ERH MORF_ERH	1.529	6.117	4.126	4.126	-1.043	-0.406	-2.907	-1.777	-3.712	-4.820	-4.820
GNF2_APEX1 GNF2_APEX1	4.272	9.086	3.782	0.489	-1.160	-1.160	-2.114	-2.829	-2.829	-3.846	-3.846
MORF_UNG MORF_UNG	7.626	7.626	1.740	-0.779	-1.124	-0.341	-1.590	-3.172	-3.172	-3.172	-3.172
MORF_DNMT1 MORF_DNMT1	6.409	6.409	1.434	1.718	-0.617	-0.835	-1.863	-1.447	-3.829	-4.947	-4.947
MORF_ACTG1 MORF_ACTG1	-1.977	0.427	7.458	7.458	1.134	-0.408	-0.741	-0.556	-3.735	-4.615	-5.798
GNF2_CASP1 GNF2_CASP1	-2.153	-2.767	-2.153	-2.767	-3.557	-1.665	-1.665	0.368	3.074	7.621	7.621
MORF_CTBP1 MORF_CTBP1	-0.490	3.326	2.981	6.700	0.729	0.336	-2.368	-0.269	-3.409	-5.816	-7.082
MORF_RAD54L MORF_RAD54L	9.670	6.520	0.323	0.632	-0.815	-0.815	-2.523	-0.588	-2.523	-4.353	-4.353
GNF2_CARD15 GNF2_CARD15	-1.370	-1.974	-1.974	-2.877	-1.974	-1.370	-1.974	-0.629	1.035	2.509	16.470
MORF_PTPN11 MORF_PTPN11	1.203	7.923	4.597	0.561	-0.467	0.280	-0.896	-2.059	-4.523	-4.523	-4.523
MORF_UBE2N MORF_UBE2N	1.965	5.625	5.077	1.633	-1.664	-0.301	-1.236	-2.215	-3.973	-3.973	-3.973
MORF_EI24 MORF_EI24	4.624	7.046	2.342	0.370	0.265	-0.825	-0.825	-0.825	-3.919	-4.814	-6.012
MORF_EIF3S6 MORF_EIF3S6	0.502	3.704	4.138	5.068	-0.682	0.502	-2.504	-1.198	-2.504	-5.117	-5.117
MORF_PCNA MORF_PCNA	4.454	5.576	2.983	0.468	-0.655	0.313	-2.491	-3.466	-2.491	-3.466	-3.466
