GO	[-23.88 -0.90]	[-0.90 -0.57]	[-0.57 -0.36]	[-0.36 -0.21]	[-0.21 -0.04]	[-0.04 0.02]	[0.02 0.27]	[0.27 0.60]	[0.60 1.22]	[1.22 2.21]	[2.21 10.00]
MORF_G22P1 MORF_G22P1	1.002	18.236	12.842	-0.405	0.301	-3.498	-1.674	-4.160	-7.181	-7.181	-7.222
MORF_ANP32B MORF_ANP32B	0.881	11.483	11.483	0.465	2.446	-3.193	-1.340	-3.193	-8.277	-8.277	-8.325
GNF2_FBL GNF2_FBL	0.746	11.132	19.643	-0.380	-0.274	-3.304	-4.027	-3.304	-4.926	-6.129	-6.164
MORF_FBL MORF_FBL	6.142	17.615	3.891	-0.310	-0.310	-3.070	-4.653	-3.070	-5.835	-5.835	-5.868
MORF_HAT1 MORF_HAT1	4.082	9.701	11.420	0.285	0.500	-3.563	-1.139	-5.022	-5.992	-7.265	-7.307
MORF_NPM1 MORF_NPM1	-0.723	5.582	16.002	1.216	2.853	-5.517	-0.556	-3.177	-6.759	-6.759	-6.799
MORF_PRKDC MORF_PRKDC	7.906	15.979	2.430	0.558	-0.473	-1.755	-1.755	-2.960	-5.623	-7.940	-7.986
GNF2_RAN GNF2_RAN	13.668	12.040	1.056	-2.588	-0.489	-2.588	-3.574	-3.574	-3.574	-3.574	-3.595
MORF_RFC4 MORF_RFC4	5.845	11.330	4.101	0.293	0.679	-2.320	-0.959	-5.083	-6.297	-6.297	-6.333
MORF_RAD21 MORF_RAD21	0.442	6.298	13.979	1.705	0.872	-2.645	-1.234	-1.837	-6.191	-7.476	-7.519
GNF2_EIF3S6 GNF2_EIF3S6	-1.933	3.309	19.146	1.604	1.604	-3.095	-1.511	-2.451	-5.038	-5.038	-5.067
MORF_DAP3 MORF_DAP3	1.310	10.633	5.757	2.266	0.771	-3.105	-0.845	-1.555	-5.812	-8.151	-8.198
MORF_RAD23B MORF_RAD23B	0.363	3.984	14.967	0.926	1.545	-5.097	0.269	-1.767	-4.300	-7.349	-7.392
MORF_PPP1CC MORF_PPP1CC	6.235	10.429	3.364	0.470	0.932	-3.305	-0.608	-4.725	-5.675	-6.928	-5.713
GCM_ACTG1 GCM_ACTG1	0.630	5.342	8.020	0.811	5.342	-4.031	-2.019	-4.031	-5.163	-5.163	-5.193
MORF_CTBP1 MORF_CTBP1	-0.486	5.650	7.050	4.001	1.766	-3.369	-0.268	-1.933	-5.754	-7.012	-7.053
GNF2_DAP3 GNF2_DAP3	-0.867	8.411	13.044	0.700	0.700	-2.420	-1.144	-3.060	-3.877	-4.996	-5.025
GNF2_PA2G4 GNF2_PA2G4	7.185	13.251	1.957	-1.199	-0.842	-2.329	-2.329	-3.282	-3.282	-3.282	-3.301
GNF2_APEX1 GNF2_APEX1	4.231	12.654	3.748	-0.589	-0.404	-3.824	-1.565	-3.824	-2.812	-3.824	-3.847
MORF_ACTG1 MORF_ACTG1	-1.563	1.893	12.815	1.615	3.218	-3.701	0.428	-1.958	-3.701	-5.751	-5.784
MORF_DNMT1 MORF_DNMT1	6.865	8.012	3.472	0.738	-0.443	-3.800	-0.830	-3.800	-3.800	-4.912	-4.940
MORF_ERH MORF_ERH	1.519	7.714	7.714	1.519	0.323	-2.885	-1.361	-3.685	-4.786	-4.786	-4.814
MORF_PSMC1 MORF_PSMC1	1.024	4.424	8.402	2.153	0.696	-4.794	0.335	-0.772	-4.794	-7.940	-5.664
MORF_EI24 MORF_EI24	4.994	7.450	3.348	0.497	0.497	-2.096	0.371	-4.770	-3.881	-5.961	-5.995
MORF_UBE2N MORF_UBE2N	1.952	7.323	9.976	-0.642	-0.301	-1.653	-1.228	-3.950	-3.950	-3.950	-3.973
MORF_EIF4A2 MORF_EIF4A2	-0.960	1.615	12.815	1.615	3.218	-3.004	-0.406	-2.432	-2.432	-5.751	-5.784
GCM_APEX1 GCM_APEX1	1.281	6.663	4.142	0.820	3.284	-3.646	-0.756	-3.646	-4.745	-4.745	-4.772
MORF_EIF3S6 MORF_EIF3S6	0.664	5.995	7.631	1.307	1.307	-3.130	-1.536	-1.188	-5.080	-5.080	-5.109
MORF_PTPN11 MORF_PTPN11	1.762	7.813	7.216	-0.465	0.744	-1.570	-0.890	-3.417	-4.493	-4.493	-4.519
MORF_PPP1CA MORF_PPP1CA	1.083	4.794	7.050	2.315	0.895	-2.815	-0.365	-1.933	-4.021	-7.012	-5.792
MORF_RRM1 MORF_RRM1	4.487	6.056	6.624	-0.259	-0.259	-3.189	-1.052	-3.189	-3.189	-4.242	-4.267
GCM_NPM1 GCM_NPM1	0.440	5.438	8.823	0.440	2.089	-2.293	-0.792	-2.920	-4.828	-4.828	-3.749
MORF_NME2 MORF_NME2	0.259	2.486	9.156	2.810	2.182	-2.434	-0.808	-1.618	-3.574	-6.465	-5.276
MORF_UNG MORF_UNG	7.549	7.549	2.513	-1.118	-0.340	-1.118	-2.219	-3.157	-3.157	-3.157	-3.175
MORF_RAD54L MORF_RAD54L	9.532	7.016	1.316	-0.411	-0.411	-2.505	-0.585	-1.922	-3.265	-4.326	-4.351
GNF2_HCK GNF2_HCK	-2.134	-2.850	-2.850	-3.866	-2.134	-2.134	-1.178	-0.278	2.805	8.182	7.487
MORF_TPT1 MORF_TPT1	-1.861	0.669	12.654	1.997	2.348	-3.189	-0.259	-1.861	-1.861	-4.242	-4.267
MORF_MAP2K2 MORF_MAP2K2	0.663	10.873	2.428	0.844	1.050	-1.419	-0.341	-1.797	-4.341	-5.499	-5.531
