GO	[-23.88 -0.90]	[-0.90 -0.57]	[-0.57 -0.36]	[-0.36 -0.21]	[-0.21 -0.04]	[-0.04 0.02]	[0.02 0.27]	[0.27 0.60]	[0.60 1.22]	[1.22 2.21]	[2.21 10.00]
MORF_FBL MORF_FBL	6.142	17.615	3.891	-0.310	-0.310	-3.070	-4.653	-3.070	-5.835	-5.835	-5.868
MORF_HAT1 MORF_HAT1	4.082	9.701	11.420	0.285	0.500	-3.563	-1.139	-5.022	-5.992	-7.265	-7.307
MORF_PRKDC MORF_PRKDC	7.906	15.979	2.430	0.558	-0.473	-1.755	-1.755	-2.960	-5.623	-7.940	-7.986
GNF2_RAN GNF2_RAN	13.668	12.040	1.056	-2.588	-0.489	-2.588	-3.574	-3.574	-3.574	-3.574	-3.595
MORF_RFC4 MORF_RFC4	5.845	11.330	4.101	0.293	0.679	-2.320	-0.959	-5.083	-6.297	-6.297	-6.333
MORF_PPP1CC MORF_PPP1CC	6.235	10.429	3.364	0.470	0.932	-3.305	-0.608	-4.725	-5.675	-6.928	-5.713
GNF2_PA2G4 GNF2_PA2G4	7.185	13.251	1.957	-1.199	-0.842	-2.329	-2.329	-3.282	-3.282	-3.282	-3.301
GNF2_APEX1 GNF2_APEX1	4.231	12.654	3.748	-0.589	-0.404	-3.824	-1.565	-3.824	-2.812	-3.824	-3.847
MORF_DNMT1 MORF_DNMT1	6.865	8.012	3.472	0.738	-0.443	-3.800	-0.830	-3.800	-3.800	-4.912	-4.940
MORF_EI24 MORF_EI24	4.994	7.450	3.348	0.497	0.497	-2.096	0.371	-4.770	-3.881	-5.961	-5.995
MORF_RRM1 MORF_RRM1	4.487	6.056	6.624	-0.259	-0.259	-3.189	-1.052	-3.189	-3.189	-4.242	-4.267
MORF_UNG MORF_UNG	7.549	7.549	2.513	-1.118	-0.340	-1.118	-2.219	-3.157	-3.157	-3.157	-3.175
MORF_RAD54L MORF_RAD54L	9.532	7.016	1.316	-0.411	-0.411	-2.505	-0.585	-1.922	-3.265	-4.326	-4.351
MORF_PCNA MORF_PCNA	4.415	6.733	3.902	-0.289	0.468	-1.309	-3.449	-2.477	-3.449	-3.449	-3.469
GNF2_NPM1 GNF2_NPM1	3.224	6.687	5.415	0.315	-0.689	-2.073	-1.456	-2.990	-2.990	-2.990	-3.007
MORF_FEN1 MORF_FEN1	6.189	5.535	2.751	-0.546	-0.546	-0.835	-1.821	-2.698	-2.698	-2.698	-2.714
GNF2_KPNB1 GNF2_KPNB1	3.648	5.314	5.314	-1.488	-0.300	-2.110	-0.471	-1.488	-3.032	-3.032	-3.049
MORF_EIF4E MORF_EIF4E	3.285	7.148	1.692	0.617	0.290	-1.871	-0.313	-3.532	-2.551	-3.532	-3.553
GNF2_XRCC5 GNF2_XRCC5	3.498	5.717	5.717	-1.092	-0.505	-1.092	-1.550	-1.550	-2.183	-3.115	-3.133
MORF_DEAF1 MORF_DEAF1	6.517	5.814	1.906	-0.645	-0.645	-1.006	-1.537	-2.365	-2.365	-2.365	-2.379
GNF2_NS GNF2_NS	8.604	4.508	0.821	-0.549	-1.658	-1.658	-1.658	-1.658	-0.958	-1.658	-1.668
MORF_GSPT1 MORF_GSPT1	7.740	4.112	1.944	-1.260	-0.782	-1.260	-0.782	-2.032	-2.032	-2.032	-2.044
MORF_ESPL1 MORF_ESPL1	3.036	4.712	3.036	-0.287	0.730	-1.678	-1.678	-2.532	-1.678	-2.532	-2.546
MORF_CDK2 MORF_CDK2	2.320	5.415	1.555	0.939	0.315	-1.013	-2.073	-0.454	-2.990	-2.990	-3.007
GCM_PPP1CC GCM_PPP1CC	2.414	5.941	1.556	-0.381	0.879	-1.502	-0.977	-1.502	-2.323	-2.323	-2.337
GNF2_ELAC2 GNF2_ELAC2	3.204	2.649	3.805	-0.411	-0.411	-1.908	-1.158	-0.411	-1.908	-1.908	-1.919
MORF_PHB MORF_PHB	2.426	1.509	1.791	1.509	1.019	-2.019	-0.263	0.343	-4.031	-4.031	-2.570
MODULE_152 MODULE_152	2.097	2.779	3.153	-0.376	0.473	-0.711	-0.263	0.343	-2.547	-4.031	-4.059
GNF2_MSH6 GNF2_MSH6	2.272	7.800	0.264	-0.671	0.264	-1.285	-0.671	-1.285	-1.285	-1.285	-1.292
