GO	[-6.16 -0.59]	[-0.59 -0.44]	[-0.44 -0.22]	[-0.22 -0.10]	[-0.10 -0.01]	[-0.01 0.00]	[0.00 0.08]	[0.08 0.18]	[0.18 0.37]	[0.37 0.87]	[0.87 8.56]
JAK2_DN.V1_UP JAK2_DN.V1_UP	0.664	3.696	-0.661	-1.578	-5.319	5.235	-1.578	-1.292	-3.824	0.410	2.693
BRCA1_DN.V1_UP BRCA1_DN.V1_UP	1.277	4.343	-0.641	-2.806	-4.340	1.530	-0.473	-0.850	-2.253	-0.850	3.501
KRAS.KIDNEY_UP.V1_UP KRAS.KIDNEY_UP.V1_UP	2.429	4.729	-0.768	-2.013	-1.277	0.292	-2.013	-3.069	-0.998	-0.581	4.282
IL21_UP.V1_DN IL21_UP.V1_DN	0.770	2.036	0.380	-1.351	-2.815	4.668	-0.885	-4.614	-1.980	0.380	2.025
CAHOY_NEURONAL CAHOY_NEURONAL	1.443	4.140	0.249	-1.357	-2.369	0.525	-1.801	-3.113	-1.801	0.525	2.816
SNF5_DN.V1_DN SNF5_DN.V1_DN	0.938	2.143	-0.358	-2.019	-3.607	0.938	-0.636	-2.463	-1.051	0.938	3.444
IL15_UP.V1_DN IL15_UP.V1_DN	1.895	1.011	-0.502	-1.030	-4.473	1.205	-0.648	-2.264	-0.648	0.679	2.730
LEF1_UP.V1_UP LEF1_UP.V1_UP	0.785	1.778	0.509	-1.264	-2.201	1.329	-1.031	-1.264	-3.608	1.329	2.016
PGF_UP.V1_DN PGF_UP.V1_DN	1.646	0.334	-0.965	-1.754	-2.959	0.437	0.334	-1.190	-0.965	1.213	4.396
CTIP_DN.V1_UP CTIP_DN.V1_UP	1.739	1.225	0.629	-1.466	-2.312	0.351	-1.148	-1.148	-1.466	0.351	3.398
KRAS.KIDNEY_UP.V1_DN KRAS.KIDNEY_UP.V1_DN	1.225	1.002	0.629	-1.850	-2.312	1.002	-1.466	-0.256	-0.886	-0.672	2.667
IL2_UP.V1_DN IL2_UP.V1_DN	-0.370	2.118	0.544	-1.208	-1.472	0.326	0.326	-2.127	-1.472	0.544	3.293
ATM_DN.V1_DN ATM_DN.V1_DN	0.947	0.762	-0.503	-1.116	-2.179	2.200	-0.870	-0.870	-0.668	-0.668	3.186
DCA_UP.V1_UP DCA_UP.V1_UP	1.569	0.390	0.390	-1.621	-0.869	1.346	-1.621	-1.331	-1.621	0.955	2.329
ATM_DN.V1_UP ATM_DN.V1_UP	-0.370	0.762	0.339	-2.179	-0.668	1.384	-1.761	-1.761	0.339	0.762	2.835
PDGF_UP.V1_DN PDGF_UP.V1_DN	0.373	1.277	-1.106	-0.850	-1.106	1.805	-1.419	-1.106	-0.641	0.843	2.094
VEGF_A_UP.V1_UP VEGF_A_UP.V1_UP	0.638	0.638	-0.517	-1.264	-1.264	0.301	-1.845	-0.301	-0.831	2.293	2.281
TGFB_UP.V1_UP TGFB_UP.V1_UP	0.361	0.469	0.270	-2.029	-0.573	-0.573	-2.029	0.361	0.901	0.270	3.460
