GO	[-6.49 -0.55]	[-0.55 -0.25]	[-0.25 -0.13]	[-0.13 -0.04]	[-0.04 0.00]	[0.00 0.01]	[0.01 0.10]	[0.10 0.23]	[0.23 0.46]	[0.46 0.97]	[0.97 8.92]
RBM47_MDA-MB-231_POSTAR_HITS-CLIP RBM47_MDA-MB-231_POSTAR_HITS-CLIP	-0.897	-1.365	0.916	1.745	-0.559	-3.938	0.916	1.996	0.916	-0.431	-0.906
STAU1_HEK293_POSTAR_Piranha_0.01 STAU1_HEK293_POSTAR_Piranha_0.01	-0.458	0.488	1.652	-0.338	-0.458	-3.526	0.976	3.174	0.267	-1.010	-1.599
KHSRP_K562_POSTAR_eCLIP KHSRP_K562_POSTAR_eCLIP	-2.412	0.536	0.677	2.489	0.413	-2.412	1.434	0.677	0.536	-1.080	-1.656
HNRNPD_HEK293_POSTAR_Piranha_0.01 HNRNPD_HEK293_POSTAR_Piranha_0.01	-3.219	2.292	-0.397	0.851	0.477	-2.465	0.477	1.631	-0.270	-0.568	-0.573
RBM15_K562_POSTAR_eCLIP RBM15_K562_POSTAR_eCLIP	-0.582	0.922	2.314	0.754	-3.612	-3.041	0.605	0.269	0.754	0.269	-0.340
TIA1_HepG2_POSTAR_eCLIP TIA1_HepG2_POSTAR_eCLIP	-2.435	-0.632	0.911	0.680	-0.910	-1.770	2.182	2.582	-0.277	-0.426	-0.637
TARBP2_MDA-LM2_POSTAR_HITS-CLIP TARBP2_MDA-LM2_POSTAR_HITS-CLIP	0.389	0.239	0.819	0.582	0.582	-1.890	-0.585	4.126	-0.585	-1.301	-1.897
FMR1_K562_POSTAR_eCLIP FMR1_K562_POSTAR_eCLIP	-1.456	0.717	1.139	3.004	-2.381	-1.456	0.546	0.915	-0.455	0.401	-1.465
METTL3_HeLa_POSTAR_PAR-CLIP METTL3_HeLa_POSTAR_PAR-CLIP	-1.989	-0.451	0.352	1.181	-0.755	-1.989	0.571	3.017	-0.256	0.571	-0.759
XRN2_HepG2_POSTAR_eCLIP XRN2_HepG2_POSTAR_eCLIP	-1.391	1.300	2.456	0.519	0.519	-2.765	0.384	1.555	-0.830	-0.830	-1.400
TARBP2_MDA-LM2_POSTAR_Piranha_0.01 TARBP2_MDA-LM2_POSTAR_Piranha_0.01	0.405	0.250	0.847	0.604	0.405	-1.854	-0.565	4.215	-0.565	-1.271	-1.861
METTL3_HeLa_POSTAR_PARalyzer METTL3_HeLa_POSTAR_PARalyzer	-1.616	-0.524	0.555	0.859	-0.925	-1.616	0.555	3.934	-0.283	-0.283	-0.527
TNRC6C_HEK293_Plass TNRC6C_HEK293_Plass	-1.213	-0.310	0.292	1.039	0.527	-4.157	2.959	0.847	0.399	-0.742	-0.749
AARS_K562_POSTAR_eCLIP AARS_K562_POSTAR_eCLIP	-0.566	0.415	1.850	0.301	-1.582	-2.454	1.099	2.143	0.711	-0.566	-1.990
DDX3X_HepG2_POSTAR_eCLIP DDX3X_HepG2_POSTAR_eCLIP	-1.047	1.854	0.600	1.135	-2.453	-2.453	0.936	1.595	-0.259	-0.357	-1.056
IGF2BP1_K562_POSTAR_eCLIP IGF2BP1_K562_POSTAR_eCLIP	-1.445	-0.555	1.936	0.661	-1.161	-1.778	0.396	4.276	-0.419	-0.419	-0.728
IGF2BP3_HEK293_POSTAR_Piranha_0.01 IGF2BP3_HEK293_POSTAR_Piranha_0.01	-3.652	-0.395	1.917	0.321	0.321	-1.925	0.935	1.381	-0.395	0.935	-0.947
HNRNPA1_HEK293T_POSTAR_HITS-CLIP HNRNPA1_HEK293T_POSTAR_HITS-CLIP	-2.601	0.577	0.978	1.493	-0.868	-2.008	0.978	1.792	-0.451	-1.166	0.288
HNRNPA1_HEK293T_POSTAR_Piranha_0.01 HNRNPA1_HEK293T_POSTAR_Piranha_0.01	-2.601	0.577	0.978	1.493	-0.868	-2.008	0.978	1.792	-0.451	-1.166	0.288
PUM2_HEK293_POSTAR_PARalyzer PUM2_HEK293_POSTAR_PARalyzer	-1.368	0.696	0.534	1.093	-0.609	-2.187	1.586	2.498	-0.321	-0.812	-1.749
EIF3D_HepG2_POSTAR_eCLIP EIF3D_HepG2_POSTAR_eCLIP	-1.616	1.657	-0.925	1.657	-0.925	-1.616	1.227	-0.283	0.555	0.320	-0.527
RBM47_MDA-MB-231_POSTAR_Piranha_0.01 RBM47_MDA-MB-231_POSTAR_Piranha_0.01	-0.751	-1.200	0.789	1.618	-0.440	-3.866	0.789	1.874	0.789	-0.440	-0.758
