GO	[-15.83 -0.96]	[-0.96 -0.54]	[-0.54 -0.26]	[-0.26 -0.03]	[-0.03 0.00]	[0.00 0.19]	[0.19 0.45]	[0.45 0.58]	[0.58 0.97]	[0.97 2.01]	[2.01 11.56]
DESCARTES_FETAL_LIVER_MEGAKARYOCYTES DESCARTES_FETAL_LIVER_MEGAKARYOCYTES	0.347	-2.012	-1.637	-2.455	-0.358	-0.823	-0.482	-0.823	1.134	4.604	3.087
DESCARTES_FETAL_KIDNEY_METANEPHRIC_CELLS DESCARTES_FETAL_KIDNEY_METANEPHRIC_CELLS	1.017	-1.543	-1.909	-1.543	2.273	-0.319	-2.341	1.982	-1.234	-0.319	3.267
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MAST_CELLS DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MAST_CELLS	-1.549	-2.180	-2.180	-0.327	-1.091	0.276	-0.505	-0.505	1.427	3.483	3.009
ZHONG_PFC_MAJOR_TYPES_NPCS ZHONG_PFC_MAJOR_TYPES_NPCS	-2.516	-1.015	2.706	0.676	-0.784	-1.015	2.070	-0.441	2.706	-0.320	-3.091
DESCARTES_FETAL_STOMACH_SQUAMOUS_EPITHELIAL_CELLS DESCARTES_FETAL_STOMACH_SQUAMOUS_EPITHELIAL_CELLS	0.388	-0.884	-1.891	-2.779	3.586	-0.884	-1.891	0.818	0.388	0.818	1.419
LAKE_ADULT_KIDNEY_C26_MESANGIAL_CELLS LAKE_ADULT_KIDNEY_C26_MESANGIAL_CELLS	-0.761	-0.959	-1.192	-2.152	-2.579	-0.457	1.288	-0.761	2.278	3.900	1.291
BUSSLINGER_GASTRIC_LYZ_POSITIVE_CELLS BUSSLINGER_GASTRIC_LYZ_POSITIVE_CELLS	-0.930	4.856	1.993	0.261	-0.685	1.136	-0.930	0.527	-2.706	-1.237	-1.620
RUBENSTEIN_SKELETAL_MUSCLE_ENDOTHELIAL_CELLS RUBENSTEIN_SKELETAL_MUSCLE_ENDOTHELIAL_CELLS	-2.962	0.934	0.581	-3.654	-2.396	-0.718	1.145	1.916	0.746	1.145	0.440
DESCARTES_FETAL_PANCREAS_ACINAR_CELLS DESCARTES_FETAL_PANCREAS_ACINAR_CELLS	-0.505	-2.621	-0.730	-1.933	5.692	0.576	-1.029	0.404	0.267	-0.730	1.607
DESCARTES_FETAL_LIVER_LYMPHOID_CELLS DESCARTES_FETAL_LIVER_LYMPHOID_CELLS	-0.537	-1.609	-0.963	-2.573	1.471	-0.388	-1.609	-0.727	0.788	1.471	4.767
DESCARTES_FETAL_ADRENAL_LYMPHOID_CELLS DESCARTES_FETAL_ADRENAL_LYMPHOID_CELLS	-0.555	-0.722	-1.780	-1.446	0.518	-1.162	-2.171	0.518	0.823	1.209	5.987
