name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DAC+SB.50.1-x1-0	DAC+SB.50.1-x1-0	2.50428218706521	-0.885132070207024	1.26257549836306	-0.701052785639043	0.483270073856778	1
DAC+SB.51.1-x1-0	DAC+SB.51.1-x1-0	12.2897369816032	-1.1212089775604	0.634838112038319	-1.76613369030485	0.077373422473698	0.753521635043432
DAC+SB.51.2-x1-0	DAC+SB.51.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.52.3-x1-0	DAC+SB.52.3-x1-0	0	0	NA	NA	NA	1
DAC+SB.52.1-x1-0	DAC+SB.52.1-x1-0	15.3222870508135	0.0982550749560358	0.670728068033058	0.14649017931242	0.883534442061985	0.999886859973333
DAC+SB.52.2-x1-0	DAC+SB.52.2-x1-0	1.79240833922633	-1.20447159789115	2.17118694087824	-0.554752598780805	0.57906389339675	1
DAC+SB.53.1-x1-0	DAC+SB.53.1-x1-0	12.5566309281149	-0.0429126134214235	0.551883560830284	-0.0777566437327167	0.938021635269461	0.999886859973333
DAC+SB.53.2-x1-0	DAC+SB.53.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.54.1-x1-0	DAC+SB.54.1-x1-0	0.307817479541037	1.73233759135925	4.00098034126649	0.432978281220669	0.665030548292187	1
DAC+SB.54.2-x1-0	DAC+SB.54.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.55.1-x1-0	DAC+SB.55.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.58.2-x1-0	DAC+SB.58.2-x1-0	1.40322387786971	1.96329743593515	2.4713481095872	0.79442367035176	0.426948828755778	1
DAC+SB.58.1-x1-0	DAC+SB.58.1-x1-0	11.1916659485842	-0.0925694007086029	0.843835986570066	-0.109700702721709	0.912646743089966	0.999886859973333
DAC+SB.61.1-x1-0	DAC+SB.61.1-x1-0	0.17385721221297	-0.569825854369	3.63093578592113	-0.15693636240511	0.875295001864962	1
DAC+SB.62.2-x1-0	DAC+SB.62.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.62.3-x1-0	DAC+SB.62.3-x1-0	4.75048872314286	-0.325312090992932	1.24139804692043	-0.262053006930325	0.793280576027674	0.999886859973333
DAC+SB.62.1-x1-0	DAC+SB.62.1-x1-0	11.9348547512757	0.85478162093149	0.686260253775468	1.24556480756229	0.212924209092646	0.999886859973333
DAC+SB.64.1-x1-0	DAC+SB.64.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.64.2-x1-0	DAC+SB.64.2-x1-0	3.33049452568736	0.655579696114813	1.22795535623881	0.533879096486728	0.593425185266331	1
DAC+SB.66.1-x1-0	DAC+SB.66.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.66.2-x1-0	DAC+SB.66.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.66.3-x1-0	DAC+SB.66.3-x1-0	0.939657701677597	-1.2834315491358	3.64933271809278	-0.351689376738043	0.725071228377949	1
DAC+SB.66.4-x1-0	DAC+SB.66.4-x1-0	0	0	NA	NA	NA	1
DAC+SB.66.5-x1-0	DAC+SB.66.5-x1-0	0	0	NA	NA	NA	1
