name	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
DAC+SB.53.1-x1-0	DAC+SB.53.1-x1-0	5.99042931633815	-0.112385540383135	0.932808772432051	-0.120480792746106	0.904102293974908	0.99977667339471
DAC+SB.53.2-x1-0	DAC+SB.53.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.54.1-x1-0	DAC+SB.54.1-x1-0	0.241737060848699	-0.497116893859227	3.97683643449621	-0.125003102855097	0.900521093886282	1
DAC+SB.54.2-x1-0	DAC+SB.54.2-x1-0	0.663586273068708	-1.65833822633764	4.01136591055771	-0.413409861706452	0.679306350578981	1
DAC+SB.55.1-x1-0	DAC+SB.55.1-x1-0	0	0	NA	NA	NA	1
DAC+SB.58.2-x1-0	DAC+SB.58.2-x1-0	1.84218234499774	-0.909353017892246	3.49661417903018	-0.260066730652126	0.794812300237569	1
DAC+SB.58.1-x1-0	DAC+SB.58.1-x1-0	5.88290522695104	0.164167278640925	1.09267370627887	0.150243643365412	0.880572394230406	0.99977667339471
DAC+SB.61.1-x1-0	DAC+SB.61.1-x1-0	0.0876397039873977	1.07831420409969	4.04178656277444	0.266791476331569	0.789629717369589	1
DAC+SB.62.2-x1-0	DAC+SB.62.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.62.3-x1-0	DAC+SB.62.3-x1-0	1.97162228685977	-1.07509009802678	1.62996561668626	-0.659578390501544	0.509524425436013	1
DAC+SB.62.1-x1-0	DAC+SB.62.1-x1-0	12.7204378113421	-0.0603199916241126	0.684729889016458	-0.0880931190410804	0.929802665328326	0.99977667339471
DAC+SB.64.1-x1-0	DAC+SB.64.1-x1-0	0.258814376673246	-2.02515907698182	3.99981156458948	-0.506313621099215	0.612636502369164	1
DAC+SB.64.2-x1-0	DAC+SB.64.2-x1-0	0.931808359185026	3.08818075724952	3.1366776483081	0.984538771115122	0.324850678066323	1
DAC+SB.66.1-x1-0	DAC+SB.66.1-x1-0	2.69721383901946	4.83352235790243	3.93482704315109	1.22839512509593	0.219298676996025	1
DAC+SB.66.2-x1-0	DAC+SB.66.2-x1-0	0	0	NA	NA	NA	1
DAC+SB.66.3-x1-0	DAC+SB.66.3-x1-0	0.154097356861302	-1.52891110420569	4.01614970195818	-0.380690765451355	0.703432721930043	1
