GO	[-5.78 -0.58]	[-0.58 -0.24]	[-0.24 -0.11]	[-0.11 -0.02]	[-0.02 0.00]	[0.00 0.00]	[0.00 0.08]	[0.08 0.17]	[0.17 0.32]	[0.32 0.67]	[0.67 6.04]
GOBP_SYNAPTIC_VESICLE_EXOCYTOSIS GOBP_SYNAPTIC_VESICLE_EXOCYTOSIS	0.851	-1.073	0.335	-0.790	-1.887	-1.887	0.649	1.631	-0.270	-0.568	2.650
GOBP_HETEROPHILIC_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES GOBP_HETEROPHILIC_CELL_CELL_ADHESION_VIA_PLASMA_MEMBRANE_CELL_ADHESION_MOLECULES	-0.242	-0.431	-0.242	-1.191	0.598	0.598	-1.948	-0.728	-0.242	-0.431	4.309
GOBP_BONE_MINERALIZATION GOBP_BONE_MINERALIZATION	0.861	-0.368	-0.252	-0.970	-1.285	-0.719	-0.970	-1.285	0.497	0.665	4.698
GOBP_REGULATION_OF_SIGNALING_RECEPTOR_ACTIVITY GOBP_REGULATION_OF_SIGNALING_RECEPTOR_ACTIVITY	1.251	0.581	0.581	-2.044	-0.742	0.352	-1.406	-1.149	-0.742	0.352	3.734
GOBP_POSITIVE_REGULATION_OF_CIRCADIAN_RHYTHM GOBP_POSITIVE_REGULATION_OF_CIRCADIAN_RHYTHM	-0.704	-0.704	-0.704	-0.272	1.822	0.706	-0.704	-0.704	-0.272	-0.272	2.537
GOBP_DOPAMINE_SECRETION GOBP_DOPAMINE_SECRETION	2.671	-0.385	-0.385	-1.367	-0.385	0.453	-0.733	-0.385	-1.367	0.231	2.087
GOBP_NEGATIVE_REGULATION_OF_WOUND_HEALING GOBP_NEGATIVE_REGULATION_OF_WOUND_HEALING	-0.314	0.289	-0.731	-0.731	-1.064	1.154	-1.064	-1.517	-0.488	2.203	2.612
GOBP_REGULATION_OF_CATION_CHANNEL_ACTIVITY GOBP_REGULATION_OF_CATION_CHANNEL_ACTIVITY	2.006	0.738	-1.783	-1.192	-1.783	0.591	0.262	-0.958	-0.457	0.354	2.557
GOBP_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING_INVOLVED_IN_CARDIAC_CONDUCTION GOBP_CELL_COMMUNICATION_BY_ELECTRICAL_COUPLING_INVOLVED_IN_CARDIAC_CONDUCTION	-0.994	-0.204	-0.462	-0.462	-0.994	-0.462	1.214	-0.994	0.772	-0.204	3.043
GOBP_POSITIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION GOBP_POSITIVE_REGULATION_OF_VASCULAR_ENDOTHELIAL_GROWTH_FACTOR_PRODUCTION	0.324	-0.579	-1.160	-0.279	-0.279	-1.160	-0.279	-1.160	0.607	1.433	2.560
GOBP_SODIUM_ION_TRANSMEMBRANE_TRANSPORT GOBP_SODIUM_ION_TRANSMEMBRANE_TRANSPORT	1.216	0.310	0.677	-1.081	-0.860	0.310	-2.892	-1.081	-0.394	0.837	2.782
GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE GOBP_VESICLE_MEDIATED_TRANSPORT_IN_SYNAPSE	1.563	-0.505	0.520	-0.388	-2.167	-1.814	-0.646	0.799	-0.505	-0.388	3.189
GOBP_REGULATION_OF_VASCULAR_PERMEABILITY GOBP_REGULATION_OF_VASCULAR_PERMEABILITY	1.084	0.269	0.269	0.269	0.269	-1.023	-1.740	-1.023	-1.023	0.477	2.981
GOBP_TEMPERATURE_HOMEOSTASIS GOBP_TEMPERATURE_HOMEOSTASIS	0.310	0.413	0.677	1.216	-2.413	-1.081	-2.000	-0.675	0.413	0.535	2.474
GOBP_COMPLEMENT_ACTIVATION_ALTERNATIVE_PATHWAY GOBP_COMPLEMENT_ACTIVATION_ALTERNATIVE_PATHWAY	0.304	-0.745	-0.745	1.129	0.656	0.304	-0.745	-0.745	-0.298	-0.745	2.395
GOBP_GASTRULATION_WITH_MOUTH_FORMING_SECOND GOBP_GASTRULATION_WITH_MOUTH_FORMING_SECOND	0.457	-0.952	0.200	-0.434	-0.434	-0.434	0.200	1.836	-0.952	-0.952	2.467
GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE GOBP_REGULATION_OF_ACUTE_INFLAMMATORY_RESPONSE	0.571	-1.989	0.352	-1.225	-1.225	0.571	0.352	-0.755	0.352	0.571	2.479
GOBP_RETINOIC_ACID_METABOLIC_PROCESS GOBP_RETINOIC_ACID_METABOLIC_PROCESS	0.453	-0.733	-0.385	-0.385	0.754	-0.733	-0.385	-1.367	-0.733	0.453	3.993
GOBP_ENDODERM_DEVELOPMENT GOBP_ENDODERM_DEVELOPMENT	-0.775	-0.340	-0.775	0.265	-1.117	-1.580	-0.775	2.098	0.413	0.413	2.931
GOBP_FOREBRAIN_GENERATION_OF_NEURONS GOBP_FOREBRAIN_GENERATION_OF_NEURONS	-0.381	0.397	-0.977	-1.500	-1.500	-0.977	1.192	0.397	0.397	0.397	2.888
GOBP_PYRIMIDINE_NUCLEOSIDE_CATABOLIC_PROCESS GOBP_PYRIMIDINE_NUCLEOSIDE_CATABOLIC_PROCESS	0.821	0.457	0.200	-0.952	-0.434	-0.434	-0.952	-0.434	-0.952	0.457	3.183
GOBP_CELLULAR_HORMONE_METABOLIC_PROCESS GOBP_CELLULAR_HORMONE_METABOLIC_PROCESS	1.171	0.452	-0.273	-0.921	-0.384	-0.273	-1.898	-1.510	-0.525	0.452	3.665
GOBP_STRIATED_MUSCLE_CONTRACTION GOBP_STRIATED_MUSCLE_CONTRACTION	-0.335	-0.582	-0.335	-1.444	-1.444	-0.582	0.754	-0.942	-0.335	2.920	2.300
GOBP_ACUTE_INFLAMMATORY_RESPONSE GOBP_ACUTE_INFLAMMATORY_RESPONSE	0.978	-2.602	0.291	-0.451	-0.633	0.419	-0.312	-0.868	-0.633	0.419	3.655
GOBP_FEVER_GENERATION GOBP_FEVER_GENERATION	-0.414	-0.414	0.212	-0.414	-0.414	-0.414	-0.414	-0.414	0.212	0.641	4.064
GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN GOBP_CELL_ADHESION_MEDIATED_BY_INTEGRIN	0.689	0.689	-1.455	-1.012	-1.012	-1.455	0.315	-0.288	-0.454	1.550	2.303
GOBP_CALCIUM_MEDIATED_SIGNALING GOBP_CALCIUM_MEDIATED_SIGNALING	0.877	0.464	0.877	-1.334	-1.334	-1.611	0.464	-1.611	0.585	0.359	2.411
