GO	[-5.59 -0.44]	[-0.44 -0.22]	[-0.22 -0.12]	[-0.12 -0.03]	[-0.03 0.00]	[0.00 0.04]	[0.04 0.13]	[0.13 0.26]	[0.26 0.46]	[0.46 0.94]	[0.94 9.50]
UPF1_HEK_293_FRT_POSTAR_CIMS UPF1_HEK_293_FRT_POSTAR_CIMS	0.472	0.652	-2.131	1.693	-2.131	-0.606	2.030	0.652	0.324	-0.418	-1.173
NKRF_HepG2_POSTAR_eCLIP NKRF_HepG2_POSTAR_eCLIP	-0.810	1.731	-0.301	-2.319	-2.319	-0.597	1.448	1.448	0.577	-0.430	0.428
DGCR8_HEK293T_POSTAR_HITS-CLIP DGCR8_HEK293T_POSTAR_HITS-CLIP	-0.921	1.082	0.884	0.708	-1.173	-0.402	2.384	0.554	0.421	-1.474	-2.754
NOP58_HEK293_POSTAR_PARalyzer NOP58_HEK293_POSTAR_PARalyzer	-3.791	-0.829	0.736	0.736	-1.098	-0.311	1.696	0.736	1.164	-0.443	-0.441
ALKBH5_HEK293_POSTAR_PAR-CLIP ALKBH5_HEK293_POSTAR_PAR-CLIP	-2.652	-0.539	-0.539	1.278	-0.685	-0.317	3.086	1.278	0.377	-1.297	-0.415
YTHDF1_Huh7_POSTAR_PAR-CLIP YTHDF1_Huh7_POSTAR_PAR-CLIP	-1.770	1.390	0.325	1.611	-1.770	-0.484	1.611	0.543	-0.370	-2.118	0.428
LIN28A_HEK293_POSTAR_Piranha_0.01 LIN28A_HEK293_POSTAR_Piranha_0.01	-1.595	0.721	0.270	2.032	-0.668	-1.214	-0.479	2.374	-0.479	0.721	-1.591
IGF2BP1_HepG2_POSTAR_eCLIP IGF2BP1_HepG2_POSTAR_eCLIP	-0.992	-0.537	-0.738	2.200	-2.809	-0.262	1.304	1.304	0.481	-0.738	-0.261
UCHL5_HepG2_POSTAR_eCLIP UCHL5_HepG2_POSTAR_eCLIP	-0.281	1.008	-0.774	0.322	-1.034	-0.774	2.458	1.008	0.322	0.322	-2.873
IGF2BP1_K562_POSTAR_eCLIP IGF2BP1_K562_POSTAR_eCLIP	-1.424	-0.327	0.486	2.345	-2.102	0.618	0.372	2.066	-0.926	-0.570	-0.567
YTHDF1_Huh7_POSTAR_PARalyzer YTHDF1_Huh7_POSTAR_PARalyzer	-1.529	1.665	-0.277	1.665	-1.529	-0.373	1.434	0.430	-0.634	-1.854	0.432
