GO	[-22.20 -0.66]	[-0.66 -0.24]	[-0.24 -0.05]	[-0.05 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.16]	[0.16 0.48]	[0.48 1.01]	[1.01 24.36]
chrYp11 chrYp11	-0.551	-4.726	-4.726	0.333	4.560	8.322	4.104	-1.331	-3.631	-1.728	-1.732
MT MT	-1.532	-0.860	-0.476	-1.532	-1.532	-1.532	-1.532	-0.860	7.377	1.788	2.300
chr7q34 chr7q34	-3.634	-2.146	-0.956	0.736	5.041	2.867	3.884	-0.759	-2.571	-1.189	-0.960
chrXq27 chrXq27	-1.196	-2.323	-0.841	0.539	2.333	4.183	2.333	-0.841	-1.673	-0.841	-1.199
chr21q11 chr21q11	0.226	-1.123	-1.123	-0.392	3.286	0.958	3.286	-1.864	-1.864	-1.123	0.225
chr16q22 chr16q22	-0.446	3.574	0.919	0.752	-3.602	-1.755	-1.755	-0.335	1.105	0.474	-0.337
chr13q31 chr13q31	1.254	-2.260	-1.706	0.997	0.997	1.857	1.857	-1.275	-1.275	-0.475	-0.941
chr16q24 chr16q24	0.967	2.005	3.409	-0.282	-2.067	-1.632	-2.067	-0.551	0.445	-0.742	0.320
chrXq21 chrXq21	0.496	-0.368	-0.521	1.082	1.609	0.664	2.238	-0.719	-2.769	-2.769	-0.523
chr3q26 chr3q26	1.608	-0.658	-3.213	0.815	0.309	3.654	-0.512	-1.284	-0.658	0.662	-0.837
chrXq23 chrXq23	0.367	-0.576	-1.673	-0.244	2.750	0.539	1.277	-3.273	-0.576	0.748	-0.578
chr2p12 chr2p12	0.546	-0.782	-1.258	2.410	1.137	1.937	-0.270	-1.258	-1.258	-0.270	-1.260
chr7q36 chr7q36	0.763	1.168	2.918	-0.919	-0.274	-3.610	-1.507	-0.274	-0.384	0.330	0.449
chr2p23 chr2p23	1.514	0.523	2.698	-1.013	-0.593	-0.782	-3.788	-0.320	0.283	0.283	0.520
chr13q11 chr13q11	-0.434	-0.434	-0.434	-0.952	3.187	-0.434	2.471	-0.434	-0.952	-0.434	0.199
chr6q23 chr6q23	0.462	1.309	-3.253	-0.808	1.309	0.827	-0.584	1.592	-1.095	-0.280	-0.811
chr16p12 chr16p12	0.809	1.201	2.537	-1.252	-2.363	-1.929	-0.446	0.809	0.500	0.275	-0.595
chr7p11 chr7p11	-0.327	-0.505	-0.327	-0.327	3.001	1.768	1.119	-1.547	-1.089	-1.547	-0.506
chrXq26 chrXq26	-1.252	-2.875	-0.446	1.428	2.537	0.644	0.644	-1.252	-0.328	-0.446	0.498
chr11p11 chr11p11	0.660	-2.057	-0.799	0.660	3.362	-1.314	1.246	0.509	-0.607	-0.799	-0.610
chr11q14 chr11q14	-0.362	0.998	0.627	0.801	1.218	0.477	0.998	-0.670	-2.857	-1.841	-0.672
