GO	[-5.71 -0.44]	[-0.44 -0.29]	[-0.29 -0.16]	[-0.16 -0.08]	[-0.08 -0.02]	[-0.02 0.00]	[0.00 0.07]	[0.07 0.14]	[0.14 0.26]	[0.26 0.56]	[0.56 5.58]
GNF2_DNM1 GNF2_DNM1	5.260	4.676	-0.490	-3.087	-1.527	-0.314	-3.087	-3.087	-1.527	-0.490	2.647
MORF_IL4 MORF_IL4	2.400	3.333	-2.182	-4.213	-2.182	2.694	-2.591	-2.591	-1.824	0.995	4.412
GNF2_KISS1 GNF2_KISS1	0.547	0.547	-0.785	-2.039	-2.039	2.428	-0.785	-2.039	-1.264	-0.473	6.985
GNF2_HPX GNF2_HPX	6.628	0.789	-1.180	-1.895	-2.932	1.724	-1.504	-1.504	-1.180	-0.515	2.669
MORF_LTK MORF_LTK	1.623	1.141	-1.447	-0.688	-2.230	1.371	-4.066	-1.447	-1.805	1.371	4.822
MORF_IL9 MORF_IL9	1.710	1.118	-1.185	-2.148	-2.148	1.398	-0.420	-1.604	-0.860	-1.185	5.804
GNF2_MYL2 GNF2_MYL2	0.480	2.786	-1.329	-1.329	-1.329	2.187	-1.329	-1.329	-0.703	-0.703	2.786
GNF2_MLF1 GNF2_MLF1	4.141	1.308	-1.036	-1.430	-1.430	1.964	-1.948	-1.036	-1.948	-0.735	2.340
GCM_HMGA2 GCM_HMGA2	0.835	2.856	-0.932	-0.932	-2.537	2.856	-0.699	-2.007	-0.699	-0.932	2.156
GNF2_CDH11 GNF2_CDH11	0.398	1.152	-0.492	-0.492	-1.038	0.727	-1.038	-0.492	-1.038	-0.222	2.929
