GO	[-4.65 -0.85]	[-0.85 -0.28]	[-0.28 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.20]	[0.20 0.72]	[0.72 5.95]
BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES BILANGES_SERUM_AND_RAPAMYCIN_SENSITIVE_GENES	1.740	4.118	0.339	-0.896	-0.502	-0.896	-0.896	0.586	-0.502	-0.502	-1.603
WOOD_EBV_EBNA1_TARGETS_UP WOOD_EBV_EBNA1_TARGETS_UP	-1.206	-0.299	-1.206	-1.206	0.303	-0.299	-1.206	1.894	0.933	0.933	0.916
REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE REACTOME_N_GLYCAN_TRIMMING_IN_THE_ER_AND_CALNEXIN_CALRETICULIN_CYCLE	0.397	3.798	0.826	-0.622	-0.622	-0.622	-0.622	0.397	-0.622	-0.223	-0.630
BROWN_MYELOID_CELL_DEVELOPMENT_DN BROWN_MYELOID_CELL_DEVELOPMENT_DN	-0.502	-1.583	-0.266	1.740	0.586	-0.502	2.250	0.586	-0.266	-0.896	-1.603
WP_THERMOGENESIS WP_THERMOGENESIS	-0.454	1.879	-1.499	0.649	0.649	1.879	-0.831	-1.499	-0.233	-0.233	-0.846
REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES REACTOME_FOXO_MEDIATED_TRANSCRIPTION_OF_OXIDATIVE_STRESS_METABOLIC_AND_NEURONAL_GENES	-0.331	0.796	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	4.897	-0.335
REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING REACTOME_INTERLEUKIN_1_FAMILY_SIGNALING	-1.499	-0.454	-1.499	0.381	0.381	0.649	1.402	0.991	-0.454	0.991	-1.518
PID_P53_DOWNSTREAM_PATHWAY PID_P53_DOWNSTREAM_PATHWAY	-0.463	-0.463	0.775	3.077	-0.997	-0.997	-0.203	-0.463	0.427	0.775	-1.010
SMITH_TERT_TARGETS_DN SMITH_TERT_TARGETS_DN	-0.663	0.363	-0.663	-0.663	0.764	-0.663	-0.663	0.764	-0.663	1.950	0.753
SANA_RESPONSE_TO_IFNG_DN SANA_RESPONSE_TO_IFNG_DN	1.590	-0.240	0.372	-0.521	-1.080	-1.080	-1.080	0.372	-0.521	0.372	2.138
WP_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION WP_HEMATOPOIETIC_STEM_CELL_DIFFERENTIATION	-0.497	0.525	-0.497	-0.497	-0.497	-0.497	0.166	-0.497	0.525	0.166	3.486
ODONNELL_METASTASIS_UP ODONNELL_METASTASIS_UP	2.991	1.260	-0.414	-0.414	0.211	-0.414	0.211	-0.414	-0.414	-0.414	-0.420
BROWNE_HCMV_INFECTION_6HR_UP BROWNE_HCMV_INFECTION_6HR_UP	-0.331	-0.331	-0.331	-0.331	2.461	1.532	0.273	-0.331	-0.331	-0.331	-0.335
