GO	[-23.88 -0.93]	[-0.93 -0.53]	[-0.53 -0.28]	[-0.28 -0.18]	[-0.18 0.00]	[0.00 0.00]	[0.00 0.25]	[0.25 0.59]	[0.59 1.22]	[1.22 2.19]	[2.19 10.00]
GSE19888_ADENOSINE_A3R_INH_VS_INH_PRETREAT_AND_ACT_WITH_TCELL_MEMBRANES_MAST_CELL_DN GSE19888_ADENOSINE_A3R_INH_VS_INH_PRETREAT_AND_ACT_WITH_TCELL_MEMBRANES_MAST_CELL_DN	-0.684	-0.684	-3.116	1.956	-1.060	0.286	-0.538	-1.060	-0.417	0.485	6.461
GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_CD4_TCELL_DN GSE6259_FLT3L_INDUCED_DEC205_POS_DC_VS_CD4_TCELL_DN	0.861	-1.082	-1.391	0.384	-1.764	0.678	-2.216	-0.624	-1.082	3.953	2.786
GSE37605_TREG_VS_TCONV_NOD_FOXP3_FUSION_GFP_DN GSE37605_TREG_VS_TCONV_NOD_FOXP3_FUSION_GFP_DN	-1.621	3.505	1.237	-0.661	-0.661	-4.070	0.424	-0.384	-1.062	-0.284	2.510
GSE22611_NOD2_TRANSD_VS_CTRL_TRANSD_HEK293_MDP_STIM_2H_DN GSE22611_NOD2_TRANSD_VS_CTRL_TRANSD_HEK293_MDP_STIM_2H_DN	0.628	-2.304	-1.844	0.802	-0.362	0.802	-3.544	-0.498	-0.362	1.732	3.005
GSE29614_DAY3_VS_DAY7_TIV_FLU_VACCINE_PBMC_UP GSE29614_DAY3_VS_DAY7_TIV_FLU_VACCINE_PBMC_UP	2.475	-1.148	-2.043	1.056	-0.451	1.056	-3.404	-0.928	-0.583	0.352	2.756
GSE43863_NAIVE_VS_TFH_CD4_EFF_TCELL_D6_LCMV_DN GSE43863_NAIVE_VS_TFH_CD4_EFF_TCELL_D6_LCMV_DN	-0.379	-1.221	-4.133	0.981	-0.993	0.664	-1.485	-0.633	2.074	0.981	2.613
GSE19825_NAIVE_VS_IL2RALOW_DAY3_EFF_CD8_TCELL_UP GSE19825_NAIVE_VS_IL2RALOW_DAY3_EFF_CD8_TCELL_UP	-0.264	-3.233	-1.973	1.395	-1.128	0.342	-1.372	-0.457	0.693	1.845	3.229
GSE21063_WT_VS_NFATC1_KO_16H_ANTI_IGM_STIM_BCELL_DN GSE21063_WT_VS_NFATC1_KO_16H_ANTI_IGM_STIM_BCELL_DN	-0.451	-1.701	-4.696	0.352	-0.451	-0.343	0.263	0.352	-0.343	3.406	2.462
GSE30083_SP2_VS_SP3_THYMOCYTE_UP GSE30083_SP2_VS_SP3_THYMOCYTE_UP	-0.585	-5.120	0.342	-0.585	-0.585	-0.264	-1.372	1.845	2.094	-0.264	2.082
GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN GSE2405_0H_VS_3H_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_DN	0.387	-1.547	-3.620	0.767	-1.043	1.740	-0.671	-1.547	0.497	1.300	2.801
GSE6259_FLT3L_INDUCED_VS_WT_SPLENIC_DC_33D1_POS_DN GSE6259_FLT3L_INDUCED_VS_WT_SPLENIC_DC_33D1_POS_DN	-0.419	-1.778	0.293	-1.778	-0.922	-1.778	-0.922	0.518	1.209	2.214	3.869
GSE20727_ROS_INH_VS_ROS_INH_AND_DNFB_ALLERGEN_TREATED_DC_DN GSE20727_ROS_INH_VS_ROS_INH_AND_DNFB_ALLERGEN_TREATED_DC_DN	-0.684	-1.881	-1.881	1.086	0.377	2.489	-1.295	-2.239	0.377	0.752	2.765
GSE35543_IN_VIVO_NTREG_VS_CONVERTED_EX_ITREG_DN GSE35543_IN_VIVO_NTREG_VS_CONVERTED_EX_ITREG_DN	1.612	-1.973	-0.585	0.342	-0.350	0.693	-4.399	-0.457	-0.585	1.011	2.919
GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_24H_UP GSE41176_UNSTIM_VS_ANTI_IGM_STIM_BCELL_24H_UP	1.441	-1.927	-3.714	-0.887	-0.561	1.236	-0.436	0.271	-0.711	1.662	2.410
GSE40274_IRF4_VS_FOXP3_AND_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_DN GSE40274_IRF4_VS_FOXP3_AND_IRF4_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	0.413	-1.097	-0.828	-0.828	-0.828	-0.311	-1.842	-0.311	-0.442	3.449	3.436
GSE21063_WT_VS_NFATC1_KO_3H_ANTI_IGM_STIM_BCELL_UP GSE21063_WT_VS_NFATC1_KO_3H_ANTI_IGM_STIM_BCELL_UP	0.708	0.350	-1.631	-0.342	-1.111	-1.631	0.264	-1.111	0.572	1.872	2.378
GSE30971_2H_VS_4H_LPS_STIM_MACROPHAGE_WBP7_HET_DN GSE30971_2H_VS_4H_LPS_STIM_MACROPHAGE_WBP7_HET_DN	-1.221	-1.485	-0.633	0.416	-1.221	0.317	0.416	-0.633	0.531	0.664	4.261
