GO	[-20.07 -0.73]	[-0.73 -0.33]	[-0.33 -0.06]	[-0.06 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.01]	[0.01 0.28]	[0.28 0.47]	[0.47 0.98]	[0.98 22.12]
TNRC6C_HEK293_Plass TNRC6C_HEK293_Plass	-0.715	-0.425	7.465	-0.318	-7.214	-4.983	-4.196	5.627	-0.318	0.382	0.782
TNRC6A_HEK293_Plass TNRC6A_HEK293_Plass	-0.311	-0.793	5.402	-0.311	-4.202	-5.346	-4.202	9.788	-1.040	-0.435	0.546
HNRNPA1_K562_POSTAR_eCLIP HNRNPA1_K562_POSTAR_eCLIP	0.416	-0.285	3.553	0.531	-4.120	-4.822	-4.120	5.827	0.531	-2.133	1.359
PTBP1_HeLa_POSTAR_CIMS PTBP1_HeLa_POSTAR_CIMS	0.925	-0.780	4.044	-0.346	-5.635	-2.735	-6.881	2.660	0.260	1.116	1.114
HLTF_K562_POSTAR_eCLIP HLTF_K562_POSTAR_eCLIP	0.768	-0.399	2.003	-2.066	-5.221	-2.598	-5.221	3.405	0.445	0.967	2.317
FUS_HEK293T_POSTAR_Piranha_0.01 FUS_HEK293T_POSTAR_Piranha_0.01	0.960	0.309	5.768	-1.007	-4.153	-4.857	-3.546	4.207	-0.644	0.406	0.647
BCCIP_HepG2_POSTAR_eCLIP BCCIP_HepG2_POSTAR_eCLIP	-0.797	0.812	5.413	-0.991	-2.533	-4.822	-3.515	3.897	-1.218	0.663	1.576
YWHAG_K562_POSTAR_eCLIP YWHAG_K562_POSTAR_eCLIP	-0.523	0.967	2.638	-1.302	-4.507	-4.507	-3.825	3.266	0.399	0.514	2.939
MBNL2_frontalcortex_POSTAR_CIMS MBNL2_frontalcortex_POSTAR_CIMS	1.233	-0.384	-0.284	-0.284	-2.852	-5.791	-4.059	4.222	0.852	-0.384	3.140
HNRNPU_HeLa_POSTAR_CIMS HNRNPU_HeLa_POSTAR_CIMS	0.821	-0.310	2.503	-0.554	-3.786	-3.154	-5.479	5.066	0.293	1.003	0.292
TARBP2_MDA-LM2_POSTAR_CIMS TARBP2_MDA-LM2_POSTAR_CIMS	-0.373	0.341	1.432	-0.265	-5.595	-1.482	-4.432	3.328	-0.900	1.432	1.975
EZH2_HCT116_POSTAR_Piranha_0.01 EZH2_HCT116_POSTAR_Piranha_0.01	2.342	-0.432	2.342	-1.199	-3.894	-3.894	-2.876	1.982	0.456	0.632	0.630
EZH2_HCT116_POSTAR_iCLIP EZH2_HCT116_POSTAR_iCLIP	2.342	-0.432	2.342	-1.199	-3.894	-3.894	-2.876	1.982	0.456	0.632	0.630
HNRNPU_K562_POSTAR_eCLIP HNRNPU_K562_POSTAR_eCLIP	0.335	0.441	1.935	-1.502	-3.696	-3.120	-3.120	3.784	-0.989	2.486	1.450
NPM1_K562_POSTAR_eCLIP NPM1_K562_POSTAR_eCLIP	-0.606	1.177	5.120	-0.457	-2.904	-2.904	-3.516	3.157	-0.606	-0.788	1.174
IGF2BP3_PL45_POSTAR_Piranha_0.01 IGF2BP3_PL45_POSTAR_Piranha_0.01	0.274	-0.452	3.738	-0.798	-3.821	-2.538	-4.702	2.330	0.509	1.745	0.657
TNRC6C_HEK293_POSTAR_Piranha_0.01 TNRC6C_HEK293_POSTAR_Piranha_0.01	0.551	-3.150	4.867	-0.277	-3.150	-3.728	-1.523	1.429	1.906	0.430	0.549
TNRC6C_HEK293_POSTAR_PARalyzer TNRC6C_HEK293_POSTAR_PARalyzer	1.003	-0.920	3.867	-0.920	-3.786	-3.786	-2.162	1.667	1.205	0.659	0.658
SLBP_K562_POSTAR_eCLIP SLBP_K562_POSTAR_eCLIP	-0.650	0.612	3.584	0.349	-2.628	-4.818	-1.726	0.777	-0.849	1.653	1.399
YTHDF3_HEK293T_POSTAR_Piranha_0.01 YTHDF3_HEK293T_POSTAR_Piranha_0.01	0.953	0.330	2.914	-0.524	-2.920	-2.920	-3.607	1.944	0.451	-0.274	0.951
PPIL4_K562_POSTAR_eCLIP PPIL4_K562_POSTAR_eCLIP	-0.511	-0.265	1.979	-0.265	-2.888	-1.866	-2.329	5.936	-0.265	-0.511	0.609
HNRNPUL1_K562_POSTAR_eCLIP HNRNPUL1_K562_POSTAR_eCLIP	-0.729	-0.729	5.672	-0.504	-0.729	-3.604	-1.417	1.602	0.267	0.405	0.404
TARDBP_H9_POSTAR_iCLIP TARDBP_H9_POSTAR_iCLIP	0.312	0.439	4.889	-1.053	-1.783	-1.379	-2.905	1.762	0.439	-0.581	0.438
