GO	[-1.54 -0.38]	[-0.38 -0.23]	[-0.23 -0.14]	[-0.14 -0.08]	[-0.08 -0.03]	[-0.03 0.03]	[0.03 0.09]	[0.09 0.15]	[0.15 0.23]	[0.23 0.38]	[0.38 1.75]
MORF_PPP2CA MORF_PPP2CA	2.531	0.253	1.731	-0.545	0.812	0.585	-1.640	-0.808	-1.640	0.585	-2.345
MORF_EIF4E MORF_EIF4E	2.402	1.445	0.455	1.053	-0.628	-0.628	-0.628	0.455	-1.798	-1.798	-0.647
GNF2_EIF3S6 GNF2_EIF3S6	-0.511	-0.794	0.462	-0.794	-1.772	-0.794	-0.315	0.288	-0.315	0.954	4.559
MORF_UBE2N MORF_UBE2N	4.476	-0.577	0.504	-0.998	-0.998	0.285	0.285	-0.998	-0.998	0.504	0.273
MORF_BCL2L11 MORF_BCL2L11	0.997	-0.831	-0.831	2.170	0.256	-0.831	-0.831	0.568	0.256	0.568	-0.846
MORF_MAP2K2 MORF_MAP2K2	2.701	-0.412	0.630	-0.707	0.931	0.931	-1.925	-1.168	-0.707	-0.227	-0.428
MORF_RPA2 MORF_RPA2	1.980	1.230	0.274	-0.530	0.922	0.443	-0.329	-1.227	-0.819	0.274	-2.740
MORF_PPP1CA MORF_PPP1CA	4.122	-0.627	1.584	-0.987	-0.987	0.399	-0.383	0.232	-0.987	-0.383	-0.649
MORF_FANCG MORF_FANCG	0.587	0.587	2.262	-0.266	-0.898	0.339	0.907	-0.266	-0.502	-1.586	-1.615
MODULE_28 MODULE_28	4.100	0.642	0.211	-0.414	-0.414	-0.414	-0.414	-0.414	-0.414	-0.414	0.207
MODULE_91 MODULE_91	3.792	0.580	0.187	-0.456	-0.456	-0.456	0.187	-0.456	-0.456	-0.456	0.183
MORF_IL4 MORF_IL4	-0.497	-0.497	0.166	1.741	1.741	-0.497	-0.497	0.525	0.166	-0.497	-0.506
