GO	[-8.26 -0.76]	[-0.76 -0.30]	[-0.30 -0.05]	[-0.05 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.10]	[0.10 0.41]	[0.41 1.02]	[1.02 7.81]
chrYp11 chrYp11	-1.331	-2.221	-4.726	0.628	0.467	26.654	0.467	-1.331	-2.838	-2.838	-1.334
chr5p15 chr5p15	-0.645	-0.645	-0.818	-0.381	-0.645	-5.246	13.506	2.420	-1.872	-1.546	-0.287
chr19p12 chr19p12	0.683	-1.259	-0.701	-2.735	-2.128	-1.259	0.882	14.941	-0.948	-0.356	-0.951
chrXq27 chrXq27	-0.841	-1.196	-2.323	0.994	13.129	1.595	-1.673	-1.196	-1.673	-0.576	-1.199
chr17q12 chr17q12	0.320	-0.283	0.745	0.320	-2.955	-5.681	-2.390	8.992	-0.395	-0.538	1.140
chr13q31 chr13q31	-0.324	-1.275	-1.275	-1.706	0.412	13.283	-0.475	0.412	-0.475	-2.260	-0.679
chr7q34 chr7q34	-1.778	-2.571	-0.344	-0.759	7.748	1.998	0.353	2.271	-0.956	-2.146	-2.151
chr11p11 chr11p11	-0.799	-1.314	-0.452	0.833	-1.032	-3.119	10.272	-0.607	0.274	0.509	-0.802
chr18p11 chr18p11	-0.417	0.908	-0.538	-1.058	-0.417	-2.234	9.303	-0.317	0.286	-3.109	0.284
chr5q13 chr5q13	0.644	0.491	-0.351	-0.865	-1.814	-4.358	7.666	-0.485	0.256	-0.865	0.641
MT MT	-0.860	0.614	0.359	-1.532	-1.532	-1.532	-1.532	0.614	4.179	2.303	-0.861
chr2q21 chr2q21	1.543	0.403	-3.752	-0.429	0.403	7.603	-0.579	-0.429	-0.994	-0.994	-1.275
chrXq13 chrXq13	1.927	-1.381	-0.258	1.172	1.927	0.777	-6.014	0.777	-2.139	-0.489	-0.361
chr4q32 chr4q32	0.252	-0.507	-1.259	1.643	0.882	-1.646	7.435	-1.259	-1.646	-0.356	-1.262
chr8q11 chr8q11	0.519	-1.391	0.342	-0.421	-0.421	-1.996	8.288	0.519	-1.996	-0.959	-0.264
chrXq21 chrXq21	-0.368	-0.969	-1.283	0.496	2.238	4.233	-4.643	-0.252	0.356	-0.969	-0.254
chr12q21 chr12q21	-0.282	0.594	0.594	-0.282	-1.274	-2.067	6.128	-2.599	-0.551	-0.981	1.187
chr2q22 chr2q22	-1.330	-0.389	-1.330	-1.330	1.375	7.842	-0.605	-0.389	-0.389	-0.908	-0.241
chr21p11 chr21p11	1.089	-0.520	-1.076	-0.520	-1.076	-1.076	-0.520	6.049	-0.240	-1.076	0.683
chr14q12 chr14q12	-0.347	0.385	0.259	-0.713	-0.713	-3.065	4.669	-3.065	0.541	1.471	0.258
chr14q31 chr14q31	-0.599	0.638	-0.364	-2.278	-0.948	-0.948	6.758	-1.465	0.246	0.416	0.415
chr16q24 chr16q24	0.768	0.321	-0.399	-0.742	-2.067	-5.224	-0.742	1.710	2.005	0.768	0.765
chr9q21 chr9q21	0.301	-1.589	0.514	-0.672	0.799	4.331	-2.738	2.352	-1.058	0.301	-1.924
chr3p12 chr3p12	0.676	-0.785	-1.746	-1.180	0.288	7.821	0.288	-0.785	-0.785	-0.785	0.287
chrXq26 chrXq26	-0.773	-0.328	-0.593	0.644	1.428	3.948	-4.220	1.201	0.275	-1.562	-0.994
chr7p11 chr7p11	-0.505	-1.547	-1.089	-0.505	2.146	6.297	-1.089	0.277	-0.327	-1.089	-0.506
chr20p13 chr20p13	0.959	-0.301	-0.596	3.097	-2.942	-0.809	-2.942	-1.075	0.755	0.959	1.186
chr4q12 chr4q12	3.750	0.772	0.243	-1.169	-1.169	-0.818	3.750	-1.641	-0.558	-0.818	-0.821
chr11q14 chr11q14	-1.143	0.627	-0.883	0.801	0.477	-1.143	7.041	-0.670	-1.841	-0.883	-0.258
chr21q11 chr21q11	0.226	-1.864	-1.864	0.654	3.286	2.204	-0.675	-0.392	-1.123	-0.675	0.408
chr15q15 chr15q15	0.710	3.138	0.892	-1.249	-0.749	-2.449	-1.249	-1.249	2.450	0.415	-0.568
chr16q12 chr16q12	0.301	-0.640	-1.225	0.613	-0.640	-2.194	6.073	-0.301	-1.225	0.301	0.611
chr5q11 chr5q11	0.326	-0.426	-0.632	0.326	-0.277	-3.398	5.575	-0.632	-0.632	0.326	0.325
chr8q21 chr8q21	-0.309	0.801	-0.309	0.392	-0.702	-2.461	4.460	1.380	-2.461	-0.702	-0.417
chr10q23 chr10q23	-0.270	-0.768	-0.361	-0.361	1.410	3.995	-4.756	-0.607	-0.472	0.436	0.332
chr2q24 chr2q24	-0.254	0.353	-0.692	-0.509	0.353	5.357	-2.504	-0.692	-0.692	-1.206	1.525
chr18q21 chr18q21	0.879	0.352	-0.451	-0.583	0.721	-2.038	6.079	-0.927	-0.451	-1.402	-0.585
chr5q23 chr5q23	0.593	-1.141	0.433	-0.301	0.593	-1.511	4.645	-1.141	-1.141	-1.511	1.245
chr3q13 chr3q13	0.389	0.949	-1.323	0.949	-1.942	5.058	-0.685	-0.535	-0.685	-1.610	0.500
chr6q21 chr6q21	-0.281	1.799	0.453	-0.281	4.041	-1.032	-2.252	-0.566	-0.281	-2.252	0.321
chr2q14 chr2q14	-0.283	-0.527	-0.283	0.725	-0.695	5.976	-1.802	-1.448	-1.150	0.433	0.431
chr17p11 chr17p11	0.926	-0.309	-0.309	-4.932	-2.209	1.103	0.765	0.293	-0.309	1.735	0.384
chr7q36 chr7q36	-0.919	2.249	0.954	0.954	-1.507	-0.525	-2.922	-1.507	0.451	1.664	0.329
chr4q35 chr4q35	0.771	0.412	-0.475	-0.324	0.279	-4.020	3.849	0.279	-0.676	-0.324	-0.477
chr2p23 chr2p23	-0.320	0.392	0.283	0.392	-0.320	-0.593	-5.847	0.392	2.065	0.523	0.520
chrXp21 chrXp21	0.763	-1.361	-1.960	2.483	-0.405	2.937	0.357	-0.934	-0.934	-0.405	-0.406
chr2q12 chr2q12	0.301	-0.471	-0.301	0.463	0.301	5.886	-1.484	-0.471	0.301	-1.484	-1.039
chr14q23 chr14q23	1.836	0.816	-0.271	-0.392	-1.331	-3.631	1.273	-1.011	0.333	-0.551	1.270
chr16q22 chr16q22	0.269	1.105	1.309	-0.940	-1.170	-3.033	-1.170	-0.745	2.304	0.919	0.601
chr14q13 chr14q13	0.588	-0.398	-0.235	0.588	-1.534	0.380	3.895	-0.398	-0.235	-2.361	-0.646
chr1p21 chr1p21	0.398	-0.695	0.398	-0.335	0.269	3.337	-1.736	0.398	-3.027	-0.335	0.968
chr9q31 chr9q31	0.563	0.563	0.420	0.731	1.380	1.933	-2.125	-2.125	-0.301	-0.301	-2.130
chr14q24 chr14q24	0.677	-0.278	0.829	-0.370	-1.764	-2.965	2.652	-1.201	0.543	1.183	-0.485
chr4q22 chr4q22	-0.251	-1.361	0.357	1.335	0.539	-1.361	3.425	-0.405	0.357	-0.625	-1.963
chr20p12 chr20p12	0.323	0.629	-0.808	-0.280	1.309	2.994	-2.496	-0.584	-1.457	0.827	-0.811
chr2p15 chr2p15	0.427	-0.764	0.716	-0.764	-0.764	1.512	-1.408	0.716	2.010	-1.408	-0.408
