GO	[-5.47 -0.80]	[-0.80 -0.26]	[-0.26 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.21]	[0.21 0.72]	[0.72 6.80]
GO_NEGATIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION GO_NEGATIVE_REGULATION_OF_CELL_PROJECTION_ORGANIZATION	-1.164	-1.164	-1.164	1.443	-1.164	-0.279	0.324	0.984	0.324	1.980	-0.286
GO_PLACENTA_DEVELOPMENT GO_PLACENTA_DEVELOPMENT	-0.299	0.933	-1.206	0.933	-1.206	-1.206	0.574	1.894	-1.206	-0.299	0.562
GO_NEGATIVE_REGULATION_OF_ION_TRANSPORT GO_NEGATIVE_REGULATION_OF_ION_TRANSPORT	0.217	-0.913	1.365	1.365	-0.913	0.492	0.217	-0.913	-0.913	-0.913	1.345
GO_POSITIVE_REGULATION_OF_VIRAL_PROCESS GO_POSITIVE_REGULATION_OF_VIRAL_PROCESS	2.201	-0.363	0.247	-0.704	-1.331	0.247	-1.331	0.798	0.798	0.798	-1.349
GO_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS GO_REGULATION_OF_LIPID_BIOSYNTHETIC_PROCESS	0.215	3.924	0.428	-1.415	-1.415	0.215	-0.408	-0.767	0.215	0.720	-0.418
GO_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION GO_NEGATIVE_REGULATION_OF_CHROMOSOME_ORGANIZATION	0.272	0.991	-2.214	-2.214	0.457	-0.332	1.336	0.272	1.336	-0.332	-0.573
GO_SPINDLE_MICROTUBULE GO_SPINDLE_MICROTUBULE	1.038	-0.259	2.703	-1.122	-0.259	-0.259	-1.122	-0.259	1.038	-0.551	-1.137
GO_LEARNING GO_LEARNING	0.657	1.723	1.723	-0.747	0.657	-0.747	-0.747	-0.298	-0.747	-0.298	-0.757
GO_PHAGOCYTIC_VESICLE GO_PHAGOCYTIC_VESICLE	1.526	-1.415	1.087	0.428	-0.767	-1.415	1.087	0.720	-0.767	0.215	-0.781
GO_CELLULAR_PROTEIN_CONTAINING_COMPLEX_LOCALIZATION GO_CELLULAR_PROTEIN_CONTAINING_COMPLEX_LOCALIZATION	-0.331	-0.331	-0.331	0.273	-0.331	-0.331	-0.331	4.898	-0.331	-0.331	0.269
GO_REGULATION_OF_RECEPTOR_INTERNALIZATION GO_REGULATION_OF_RECEPTOR_INTERNALIZATION	0.166	2.560	-0.497	0.166	-0.497	1.738	-0.497	-0.497	0.166	-0.497	-0.504
GO_UBIQUITIN_LIKE_PROTEIN_CONJUGATING_ENZYME_ACTIVITY GO_UBIQUITIN_LIKE_PROTEIN_CONJUGATING_ENZYME_ACTIVITY	-0.580	-0.580	0.435	2.224	-0.580	0.435	0.894	-0.580	0.435	-0.580	-0.588
GO_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION GO_ARP2_3_COMPLEX_MEDIATED_ACTIN_NUCLEATION	-0.497	-0.497	2.560	-0.497	1.055	-0.497	0.166	-0.497	-0.497	0.166	0.517
GO_GOLGI_CIS_CISTERNA GO_GOLGI_CIS_CISTERNA	-0.290	0.313	-0.290	-0.290	-0.290	-0.290	-0.290	-0.290	-0.290	3.971	0.309
