GO	[-1.51 -0.14]	[-0.14 -0.09]	[-0.09 -0.05]	[-0.05 -0.03]	[-0.03 -0.00]	[-0.00 0.02]	[0.02 0.04]	[0.04 0.07]	[0.07 0.10]	[0.10 0.14]	[0.14 1.00]
GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY40_DN GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY40_DN	-0.421	-0.882	-0.548	-3.316	1.773	-1.347	-1.638	0.934	0.934	0.380	3.531
GSE22886_UNSTIM_VS_IL15_STIM_NKCELL_DN GSE22886_UNSTIM_VS_IL15_STIM_NKCELL_DN	1.158	0.800	0.399	-1.925	-2.308	-0.524	-0.851	-0.673	-1.061	1.158	3.975
GSE3982_NKCELL_VS_TH2_DN GSE3982_NKCELL_VS_TH2_DN	1.536	-0.746	0.269	0.754	-1.761	-1.445	-1.445	-1.174	-0.336	0.754	4.318
GSE369_IFNG_KO_VS_WT_LIVER_DN GSE369_IFNG_KO_VS_WT_LIVER_DN	-0.326	-0.326	-0.560	-0.714	-1.367	-1.114	-0.898	1.996	-1.659	1.296	4.198
GSE24634_TEFF_VS_TCONV_DAY5_IN_CULTURE_UP GSE24634_TEFF_VS_TCONV_DAY5_IN_CULTURE_UP	2.925	0.389	-0.411	-1.327	-0.536	-0.411	-2.776	-0.687	-0.867	0.784	2.916
GSE17721_POLYIC_VS_PAM3CSK4_24H_BMDC_DN GSE17721_POLYIC_VS_PAM3CSK4_24H_BMDC_DN	-0.633	-0.490	-0.805	0.326	-0.490	-1.250	2.466	0.430	-3.164	0.552	3.074
GSE369_SOCS3_KO_VS_WT_LIVER_UP GSE369_SOCS3_KO_VS_WT_LIVER_UP	-0.596	-0.596	-0.352	-2.070	-1.427	-0.263	-0.352	0.864	-0.756	0.707	5.618
GSE25085_FETAL_LIVER_VS_ADULT_BM_SP4_THYMIC_IMPLANT_UP GSE25085_FETAL_LIVER_VS_ADULT_BM_SP4_THYMIC_IMPLANT_UP	2.363	-2.308	-0.401	0.515	0.970	-0.301	-0.401	-1.061	-1.925	-0.673	2.647
GSE2706_2H_VS_8H_R848_AND_LPS_STIM_DC_UP GSE2706_2H_VS_8H_R848_AND_LPS_STIM_DC_UP	-0.647	0.318	0.539	0.539	-2.256	0.420	1.201	-1.551	-0.647	-1.269	4.070
GSE7568_IL4_VS_IL4_AND_TGFB_TREATED_MACROPHAGE_24H_DN GSE7568_IL4_VS_IL4_AND_TGFB_TREATED_MACROPHAGE_24H_DN	-0.326	-0.326	0.277	-0.560	-1.367	-0.898	-0.431	-0.431	-0.714	0.277	7.139
GSE5679_CTRL_VS_RARA_AGONIST_AM580_TREATED_DC_UP GSE5679_CTRL_VS_RARA_AGONIST_AM580_TREATED_DC_UP	0.301	-0.301	0.301	-0.851	0.301	-0.524	-2.308	-2.308	0.515	1.588	3.619
GSE41867_LCMV_ARMSTRONG_VS_CLONE13_DAY6_EFFECTOR_CD8_TCELL_UP GSE41867_LCMV_ARMSTRONG_VS_CLONE13_DAY6_EFFECTOR_CD8_TCELL_UP	0.389	0.293	-0.867	-0.687	-0.687	-0.687	-1.949	-0.309	1.137	-0.536	5.489
GSE3982_NEUTROPHIL_VS_EFF_MEMORY_CD4_TCELL_DN GSE3982_NEUTROPHIL_VS_EFF_MEMORY_CD4_TCELL_DN	0.800	0.970	-0.673	0.301	-0.301	0.301	0.800	-3.255	-2.308	-0.401	2.647
GSE12366_GC_VS_MEMORY_BCELL_UP GSE12366_GC_VS_MEMORY_BCELL_UP	1.511	-0.959	0.463	-1.784	-2.580	0.591	0.261	-1.192	0.903	0.353	2.273
GSE2405_HEAT_KILLED_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_9H_UP GSE2405_HEAT_KILLED_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_9H_UP	1.057	0.458	0.722	-1.150	-0.343	0.458	-1.150	-0.742	-2.046	-0.742	4.102
GSE28726_NAIVE_VS_ACTIVATED_CD4_TCELL_DN GSE28726_NAIVE_VS_ACTIVATED_CD4_TCELL_DN	-0.318	0.491	-0.700	-0.548	-0.882	-0.700	-1.638	-0.318	-0.318	0.491	5.854
GSE41867_NAIVE_VS_EFFECTOR_CD8_TCELL_UP GSE41867_NAIVE_VS_EFFECTOR_CD8_TCELL_UP	-0.596	-0.756	-1.726	0.707	-0.756	-1.427	0.707	-0.946	1.665	0.343	3.361
GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_YOUNG_DN GSE36476_CTRL_VS_TSST_ACT_40H_MEMORY_CD4_TCELL_YOUNG_DN	1.694	-0.479	0.707	-1.230	0.707	-1.831	-0.620	-1.230	-0.791	0.335	3.114
GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_UNTREATED_DN GSE22432_MULTIPOTENT_VS_COMMON_DC_PROGENITOR_UNTREATED_DN	2.057	-0.687	-0.687	-0.867	-0.536	-0.411	-1.616	1.341	-1.079	-0.309	2.916
GSE10240_CTRL_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP GSE10240_CTRL_VS_IL17_AND_IL22_STIM_PRIMARY_BRONCHIAL_EPITHELIAL_CELLS_UP	-0.756	-0.462	0.343	-2.465	-0.352	2.445	-0.596	-0.596	-0.596	0.343	3.037
GSE28726_ACT_CD4_TCELL_VS_ACT_NKTCELL_UP GSE28726_ACT_CD4_TCELL_VS_ACT_NKTCELL_UP	0.508	0.301	-0.828	-1.838	-0.301	-0.659	2.017	-1.028	-1.260	0.637	2.848
GSE33162_HDAC3_KO_VS_HDAC3_KO_MACROPHAGE_DN GSE33162_HDAC3_KO_VS_HDAC3_KO_MACROPHAGE_DN	0.318	0.420	-0.647	-0.501	-1.027	1.640	-0.501	-1.027	-0.285	-1.551	4.070
GSE22103_LPS_VS_GMCSF_AND_IFNG_STIM_NEUTROPHIL_DN GSE22103_LPS_VS_GMCSF_AND_IFNG_STIM_NEUTROPHIL_DN	0.309	-0.293	0.406	0.520	1.146	-1.815	-0.293	-1.508	0.309	-1.815	3.199
GSE22886_UNSTIM_VS_STIM_MEMORY_TCELL_DN GSE22886_UNSTIM_VS_STIM_MEMORY_TCELL_DN	1.208	-0.473	-0.473	-0.608	-0.270	-0.361	-0.270	-1.748	-0.962	-0.473	4.755
GSE31082_DN_VS_CD8_SP_THYMOCYTE_UP GSE31082_DN_VS_CD8_SP_THYMOCYTE_UP	0.851	-1.250	1.916	-1.529	-0.372	-0.490	-1.529	-0.372	-0.372	0.326	2.758
GSE5142_HTERT_TRANSDUCED_VS_CTRL_CD8_TCELL_LATE_PASSAGE_CLONE_UP GSE5142_HTERT_TRANSDUCED_VS_CTRL_CD8_TCELL_LATE_PASSAGE_CLONE_UP	0.707	-0.363	-1.508	-0.363	-0.269	-0.791	-0.479	-0.993	-0.791	1.047	4.168
