GO	[-1.51 -0.14]	[-0.14 -0.09]	[-0.09 -0.05]	[-0.05 -0.03]	[-0.03 -0.00]	[-0.00 0.02]	[0.02 0.04]	[0.04 0.07]	[0.07 0.10]	[0.10 0.14]	[0.14 1.00]
GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY40_DN GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY40_DN	-0.421	-0.882	-0.548	-3.316	1.773	-1.347	-1.638	0.934	0.934	0.380	3.531
GSE7509_DC_VS_MONOCYTE_WITH_FCGRIIB_STIM_DN GSE7509_DC_VS_MONOCYTE_WITH_FCGRIIB_STIM_DN	2.412	0.847	2.702	0.334	-0.473	-1.748	0.556	-4.073	-0.361	-0.361	-1.191
GSE22886_UNSTIM_VS_IL15_STIM_NKCELL_DN GSE22886_UNSTIM_VS_IL15_STIM_NKCELL_DN	1.158	0.800	0.399	-1.925	-2.308	-0.524	-0.851	-0.673	-1.061	1.158	3.975
GSE3982_NKCELL_VS_TH2_DN GSE3982_NKCELL_VS_TH2_DN	1.536	-0.746	0.269	0.754	-1.761	-1.445	-1.445	-1.174	-0.336	0.754	4.318
GSE41867_DAY8_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_UP GSE41867_DAY8_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_UP	1.245	-0.993	-0.363	0.335	1.694	-2.204	-0.363	-1.230	1.460	-2.635	1.939
GSE369_IFNG_KO_VS_WT_LIVER_DN GSE369_IFNG_KO_VS_WT_LIVER_DN	-0.326	-0.326	-0.560	-0.714	-1.367	-1.114	-0.898	1.996	-1.659	1.296	4.198
GSE24634_TEFF_VS_TCONV_DAY5_IN_CULTURE_UP GSE24634_TEFF_VS_TCONV_DAY5_IN_CULTURE_UP	2.925	0.389	-0.411	-1.327	-0.536	-0.411	-2.776	-0.687	-0.867	0.784	2.916
GSE17721_POLYIC_VS_PAM3CSK4_24H_BMDC_DN GSE17721_POLYIC_VS_PAM3CSK4_24H_BMDC_DN	-0.633	-0.490	-0.805	0.326	-0.490	-1.250	2.466	0.430	-3.164	0.552	3.074
GSE369_SOCS3_KO_VS_WT_LIVER_UP GSE369_SOCS3_KO_VS_WT_LIVER_UP	-0.596	-0.596	-0.352	-2.070	-1.427	-0.263	-0.352	0.864	-0.756	0.707	5.618
GSE35543_IN_VITRO_ITREG_VS_CONVERTED_EX_ITREG_UP GSE35543_IN_VITRO_ITREG_VS_CONVERTED_EX_ITREG_UP	3.629	0.301	-0.851	0.399	0.800	-1.925	-0.401	-1.308	-1.925	-0.301	1.823
