GO	[-10.12 -1.00]	[-1.00 -0.51]	[-0.51 -0.15]	[-0.15 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.19]	[0.19 0.61]	[0.61 1.73]	[1.73 23.61]
chr13q13 chr13q13	-0.558	0.558	-0.818	1.024	-0.558	4.807	-2.286	-0.818	-0.558	0.382	-0.369
chr15q22 chr15q22	-0.365	-0.254	0.486	-0.509	0.486	-5.100	1.530	-0.509	1.271	0.644	-0.511
chr2q33 chr2q33	-0.398	0.507	-0.516	-0.398	-1.025	3.814	-3.581	-0.826	0.636	0.507	0.777
chr20p12 chr20p12	0.827	0.323	-0.280	-0.584	-0.410	4.308	-2.496	-0.410	0.827	-1.457	-0.586
chr16q22 chr16q22	1.309	2.304	1.105	0.269	-1.170	-3.033	-1.440	-0.745	0.474	0.752	-0.448
chr4q22 chr4q22	0.357	-2.859	-0.251	0.763	0.763	-1.960	2.063	-0.934	-0.251	0.539	0.356
chr12q23 chr12q23	-1.628	-0.593	0.392	0.852	-0.320	-2.029	1.514	-1.293	0.523	3.045	-0.595
chr3p22 chr3p22	-0.955	-0.750	0.276	0.276	0.276	1.867	-4.621	0.276	1.377	0.787	0.373
chr14q21 chr14q21	-0.956	-1.334	0.857	-0.956	-0.457	-2.507	2.466	0.636	1.402	0.301	0.300
chr10q11 chr10q11	-0.262	-0.467	0.344	-0.467	-2.171	5.398	-0.353	-0.262	-0.973	-0.774	0.718
chr3p25 chr3p25	-0.832	0.483	4.872	-0.636	-0.636	1.430	-1.702	-0.349	-0.349	-0.832	-0.479
chr6q21 chr6q21	0.322	0.795	0.611	0.322	4.493	-0.772	-2.252	-1.032	-0.404	-0.404	-0.775
chr5q22 chr5q22	0.638	-0.599	1.232	-1.465	0.246	-2.278	1.600	-0.599	1.600	-0.599	-0.366
chr16q12 chr16q12	-0.640	0.301	-1.225	0.301	-0.895	-1.225	4.471	0.301	-1.225	0.441	1.048
chr5q33 chr5q33	0.762	-0.633	0.976	0.291	0.291	-4.435	-0.451	0.419	-0.867	0.976	0.973
chr9q31 chr9q31	-1.020	-0.301	0.923	-0.776	2.575	1.645	-2.663	-0.776	0.731	-0.423	-0.582
chr8q11 chr8q11	-0.421	-0.646	-0.263	-0.421	-0.263	-1.391	6.220	-0.421	-0.421	-0.646	0.341
chr8q21 chr8q21	-0.414	-0.309	-1.378	0.293	-0.891	-2.045	3.026	1.380	-1.115	0.975	0.507
chr9q21 chr9q21	0.399	-0.849	-1.058	-0.849	-0.401	2.642	-3.244	0.647	0.514	1.155	0.512
chr6q14 chr6q14	0.889	0.672	-0.832	-1.149	2.841	-1.560	-1.149	-1.149	0.337	1.138	0.336
chr12q12 chr12q12	-1.499	-0.381	-0.976	-0.381	0.397	-2.320	1.956	0.397	1.190	0.233	0.875
chr18q12 chr18q12	-0.418	-0.279	-0.605	0.472	-0.279	-3.854	1.108	1.108	-0.853	1.384	0.323
chr17q11 chr17q11	0.840	0.840	-0.542	-0.706	-1.420	-2.592	-0.301	2.543	1.454	-0.408	-0.544
chr12q14 chr12q14	0.335	0.335	0.477	-2.462	0.477	-3.215	1.628	-0.270	0.648	0.648	-0.271
chr2q24 chr2q24	-0.365	0.828	-1.555	-0.254	0.353	4.424	-0.922	-0.365	-1.555	0.353	-0.367
chr14q22 chr14q22	1.565	-0.750	0.390	-0.350	-1.963	-1.446	2.261	-0.750	1.264	-0.350	-0.352
chr15q15 chr15q15	1.323	0.301	0.551	-0.565	-1.579	-2.449	-0.417	0.551	2.784	-0.565	-0.302
chr8p21 chr8p21	-0.725	0.332	0.459	1.468	-0.725	-4.051	-0.388	0.332	0.459	1.468	0.330
