GO	[-1.86 -0.20]	[-0.20 -0.14]	[-0.14 -0.10]	[-0.10 -0.07]	[-0.07 -0.04]	[-0.04 -0.01]	[-0.01 0.02]	[0.02 0.06]	[0.06 0.10]	[0.10 0.17]	[0.17 0.62]
GO:0004386 helicase activity	-0.648	-0.399	-0.399	2.380	1.930	-0.234	0.380	-1.013	0.853	-1.548	-1.573
GO:0042470 melanosome	-1.289	0.510	-1.289	-0.341	-0.341	0.510	0.840	-0.341	-1.289	0.510	2.258
GO:0010506 regulation of autophagy	3.280	-0.539	0.477	-0.176	0.970	-0.539	-0.539	-0.539	-0.539	-0.176	-0.545
GO:1901998 toxin transport	-0.497	-0.497	0.166	0.166	-0.497	-0.497	-0.497	0.525	-0.497	3.515	0.518
GO:0002102 podosome	-0.373	3.258	0.713	-0.373	-0.373	-0.373	0.240	-0.373	-0.373	-0.373	0.236
GO:0030010 establishment of cell polarity	3.258	-0.373	-0.373	0.713	-0.373	-0.373	-0.373	-0.373	0.240	-0.373	0.236
GO:0043548 phosphatidylinositol 3-kinase binding	1.920	-0.248	-0.248	-0.248	-0.248	-0.248	-0.248	-0.248	-0.248	-0.248	1.905
GO:0007178 transmembrane receptor protein serine/threonine kinase signaling pathway	-0.165	-0.165	-0.165	-0.165	-0.165	-0.165	-0.165	-0.165	-0.165	4.177	-0.168
