,max pipeline,iAnalyzeR
LGALS12,-0.0272090926614,0.343428193843325
TSPAN5,-0.0765032989792,0.633362945497053
WDR82,0.0358707556005,0.663290460404807
NDUFB10,0.0457431843612,-0.796185528412479
ASXL3,-0.0399773883489,-0.569231719945062
PARN,0.0609103004903,-0.8039162184402641
EPHB3,0.00655235678625,-3.5976532193210398
HCCS,0.0872064724357,-0.7625553217038541
HIVEP2,0.0812540646825,-2.97222280841247
TMEM255A,-0.0586502532096,-1.05050189001596
TRAF1,-0.0381270790115,0.0442264318478397
ALG12,-0.0321813355148,-0.7818691004382672
ARID1B,0.0603111994328,-1.0664059400457
CACNB2,-0.0576201886947,-0.829682988891836
IFT27,-0.075201368077,-0.9321832989403729
ZNF639,-0.0621198130995,-1.20959998229955
MAFG,0.0169108004779,-1.56959786024638
FLT3,0.00804331677371,-3.41321485869159
TMEM55A,0.0304852995688,-0.549965076848322
FRMD6,0.0327389043113,-2.37566176802715
FAM24A,-0.0326196192842,-3.5779252632180603
MSTN,0.124350567708,-1.04393030787524
PBX2,-0.0386026726103,0.0029570034841836
SLC9B2,0.071322490205,-1.9084395362345001
DVL3,0.0161029339083,0.8260056111385641
DRGX,-0.033562321627,-0.614963886689708
LGALSL,0.0622341777621,-1.02132644442805
TBC1D20,0.0242275262287,-2.14240039632831
PRDX2,0.088438715861,-0.7775000599927071
PASD1,0.132389455797,-2.1340253066086103
ACVRL1,0.0828174628519,-2.36762657026929
RNF25,0.0655298789091,-2.25660041379704
CDK5R1,0.00811463906041,-0.961931704613208
CPEB1,0.142838926795,-1.2632478293298
FOXC2,-0.0146647109697,-0.744985541549626
GPR84,0.0156891828432,-0.3897219560053711
BRK1,-0.0283107296261,-2.05397217455391
LIN54,0.043243966003,1.3788886250552
SLC7A2,-0.00349968945762,-0.8996351605874442
HIST1H2BN,-0.129824459335,-1.63702410425871
KCTD14,0.0946588180128,1.7910633135000402
MZT2A,-0.0262671245957,-3.13655412953398
YOD1,-0.0416408519854,1.07188737174907
PRIMPOL,-0.0177201742198,-2.72419207956359
AIRE,0.00842362227609,-1.25657730294336
CYB5D1,-0.0155301145146,-3.8057883295634705
NLRP14,-0.0332054010983,-4.627887369142679
FAM159B,-0.0404854668835,1.5806344644908101
OR10A5,-0.0475684167853,-1.9918310066106102
TPM4,-0.00262232403029,2.6279936243733197
LY6H,-0.000372013229132,-0.49475757858713704
FCGRT,-0.0319642231674,-0.46666799075636894
FBXO43,-0.0110605836489,-0.0173218639924684
ARHGAP40,-0.0646457431104,0.541032192845916
NAP1L5,0.0379465514557,-0.445763712579975
CHMP3,0.0366552766052,-2.2068005517836
TFPI2,-0.0280944674591,-2.14067827251445
RB1,-0.0537298167885,-2.65260961217215
FAM46B,-0.0707668756655,-0.454565247920754
NFKBIZ,-0.0736054923821,-1.53891439375337
TTLL7,0.0314351155152,-1.7906166001257802
PDXK,-0.0218998099023,-0.0390985028568856
METTL3,0.250638252549,-1.3991876535715602
ZAN,0.0149178715551,-0.8691976251643699
IRGC,-0.0703583991467,0.065125069959438
HIST1H1A,-0.00858011128108,-1.7986999879188001
USP26,0.0503700127997,-2.48153064749615
TIGD7,0.0973845339416,0.838528466208727
NKX2-2,0.0478018889229,-1.77515682737581
CALCR,-0.0144370748773,-0.482565880169044
CHST12,0.115502972552,-1.62002897674057
RBP7,-0.029805514736,-1.23460180815564
