GO	[-1.86 -0.20]	[-0.20 -0.14]	[-0.14 -0.10]	[-0.10 -0.07]	[-0.07 -0.04]	[-0.04 -0.01]	[-0.01 0.02]	[0.02 0.06]	[0.06 0.10]	[0.10 0.17]	[0.17 0.62]
GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_DN GSE9006_TYPE_1_VS_TYPE_2_DIABETES_PBMC_AT_DX_DN	0.503	0.948	0.948	-0.267	-2.436	0.338	-3.408	-0.267	0.706	1.227	-0.614
GSE11924_TH2_VS_TH17_CD4_TCELL_DN GSE11924_TH2_VS_TH17_CD4_TCELL_DN	-0.816	-1.305	-0.495	1.104	0.316	-0.286	-2.091	1.476	1.104	-1.305	1.487
GSE43863_NAIVE_VS_MEMORY_LY6C_INT_CXCR5POS_CD4_TCELL_D150_LCMV_UP GSE43863_NAIVE_VS_MEMORY_LY6C_INT_CXCR5POS_CD4_TCELL_D150_LCMV_UP	2.092	-1.964	-0.242	-0.433	-1.201	0.888	-0.242	2.092	-0.734	0.369	-1.194
GSE35825_UNTREATED_VS_IFNA_STIM_MACROPHAGE_UP GSE35825_UNTREATED_VS_IFNA_STIM_MACROPHAGE_UP	-0.394	1.331	0.656	-0.394	-1.880	-0.681	0.409	0.964	-0.681	-1.880	1.766
GSE28237_FOLLICULAR_VS_LATE_GC_BCELL_DN GSE28237_FOLLICULAR_VS_LATE_GC_BCELL_DN	0.976	0.717	-0.276	-0.998	1.996	-0.998	1.996	-1.443	-0.441	-0.276	-2.050
GSE8384_CTRL_VS_B_ABORTUS_4H_MAC_CELL_LINE_UP GSE8384_CTRL_VS_B_ABORTUS_4H_MAC_CELL_LINE_UP	0.754	-0.302	0.754	-2.133	-0.844	-0.302	-0.844	-0.516	0.754	-0.844	3.382
KAECH_DAY8_EFF_VS_DAY15_EFF_CD8_TCELL_DN KAECH_DAY8_EFF_VS_DAY15_EFF_CD8_TCELL_DN	2.462	-0.603	0.268	-1.753	-1.031	-1.031	0.752	-0.603	1.490	-0.603	0.757
GSE33292_WT_VS_TCF1_KO_DN3_THYMOCYTE_UP GSE33292_WT_VS_TCF1_KO_DN3_THYMOCYTE_UP	2.760	-0.681	0.964	-0.681	-0.681	-0.394	0.964	-0.394	-1.133	0.964	-1.872
GSE11961_GERMINAL_CENTER_BCELL_DAY7_VS_PLASMA_CELL_DAY7_DN GSE11961_GERMINAL_CENTER_BCELL_DAY7_VS_PLASMA_CELL_DAY7_DN	-0.228	2.677	1.282	-0.707	0.627	-1.922	0.627	-0.228	-1.167	-0.413	-1.160
GSE23568_ID3_KO_VS_WT_CD8_TCELL_DN GSE23568_ID3_KO_VS_WT_CD8_TCELL_DN	0.754	2.811	-0.844	0.499	-2.133	-1.340	1.064	-0.302	-0.516	-0.516	0.304
GSE25890_CTRL_VS_IL33_IL7_TREATED_NUOCYTES_DN GSE25890_CTRL_VS_IL33_IL7_TREATED_NUOCYTES_DN	1.144	0.405	1.144	1.144	0.606	-0.571	0.606	-2.768	-1.286	-0.361	-1.278
GSE24574_NAIVE_VS_TCONV_CD4_TCELL_DN GSE24574_NAIVE_VS_TCONV_CD4_TCELL_DN	0.584	0.388	-0.894	-1.914	-0.376	-0.376	0.584	-0.591	-1.914	2.213	1.818
GSE21546_WT_VS_SAP1A_KO_DP_THYMOCYTES_DN GSE21546_WT_VS_SAP1A_KO_DP_THYMOCYTES_DN	0.902	-0.503	1.287	-1.585	-0.267	-1.585	-0.503	1.736	-0.898	-0.267	0.908
GSE34205_HEALTHY_VS_FLU_INF_INFANT_PBMC_DN GSE34205_HEALTHY_VS_FLU_INF_INFANT_PBMC_DN	0.302	0.573	-0.613	-1.208	0.573	-1.208	1.891	-0.613	1.372	-1.208	0.304
GSE22886_NAIVE_VS_MEMORY_TCELL_DN GSE22886_NAIVE_VS_MEMORY_TCELL_DN	0.679	-0.512	1.615	0.946	-0.316	-0.794	-0.512	0.286	-2.641	1.615	-1.186
GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_3H_DN GSE41176_WT_VS_TAK1_KO_ANTI_IGM_STIM_BCELL_3H_DN	-0.394	0.409	0.409	0.964	-0.394	0.225	-0.394	-1.880	2.760	-1.880	0.227
