Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(4).fcs,6b,Experiment,None,,R6,VL1-H,,24356,244,99.820,52.358,75.612,19826,N/A,20107,N/A,20262,N/A,4008.83,N/A,20.22,N/A,1111.95,N/A,5.53,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(4).fcs,6b,Experiment,None,,R7,VL1-H,,28806,244,118.057,61.924,89.426,22445,N/A,20326,N/A,20262,N/A,7334.54,N/A,32.68,N/A,1596.76,N/A,7.86,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(4).fcs,6b,Experiment,None,,R5,VL1-H,,32212,244,132.016,69.246,69.246,20270,N/A,20161,N/A,20262,N/A,9401.98,N/A,46.38,N/A,2221.68,N/A,11.02,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(5).fcs,6c,Experiment,None,N/A,All Events,N/A,N/A,45253,300,150.843,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(5).fcs,6c,Experiment,None,,R4,FSC-A,SSC-A,37073,300,123.577,81.924,81.924,233208,312863,214096,279703,195560,207835,75764.34,149736.85,32.49,47.86,58715.41,137992.99,27.42,49.34
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(5).fcs,6c,Experiment,None,,R5,SSC-A,SSC-H,29492,300,98.307,65.171,79.551,296058,234989,273934,221249,207814,160781,114499.85,80342.05,38.67,34.19,111577.51,81485.92,40.73,36.83
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(5).fcs,6c,Experiment,None,,R4,SSC-A,SSC-H,37073,300,123.577,81.924,81.924,312863,235157,279703,220854,207835,166937,149736.85,93215.25,47.86,39.64,137992.99,93649.91,49.34,42.40
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(5).fcs,6c,Experiment,None,,R1,VL1-H,,3642,300,12.140,8.048,12.349,12657,N/A,13426,N/A,16324,N/A,3295.94,N/A,26.04,N/A,3616.06,N/A,26.93,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(5).fcs,6c,Experiment,None,,R2,VL1-H,,18974,300,63.247,41.929,64.336,18531,N/A,19768,N/A,19994,N/A,3307.39,N/A,17.85,N/A,1069.70,N/A,5.41,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(5).fcs,6c,Experiment,None,,R6,VL1-H,,22099,300,73.663,48.834,74.932,19652,N/A,19961,N/A,19994,N/A,4248.50,N/A,21.62,N/A,1279.48,N/A,6.41,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(5).fcs,6c,Experiment,None,,R7,VL1-H,,26407,300,88.023,58.354,89.540,22456,N/A,20224,N/A,19994,N/A,7682.86,N/A,34.21,N/A,2010.41,N/A,9.94,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(5).fcs,6c,Experiment,None,,R5,VL1-H,,29492,300,98.307,65.171,65.171,20313,N/A,20031,N/A,19994,N/A,9615.95,N/A,47.34,N/A,3138.66,N/A,15.67,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(6).fcs,7a,Experiment,None,N/A,All Events,N/A,N/A,35866,300,119.553,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(6).fcs,7a,Experiment,None,,R4,FSC-A,SSC-A,26993,300,89.977,75.261,75.261,223554,323145,206118,289284,181143,214034,72970.78,154485.07,32.64,47.81,58273.59,141939.67,28.27,49.07
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(6).fcs,7a,Experiment,None,,R5,SSC-A,SSC-H,21807,300,72.690,60.801,80.788,303186,243492,280343,229751,214034,177294,118621.73,84272.81,39.13,34.61,115521.22,86263.60,41.21,37.55
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(6).fcs,7a,Experiment,None,,R4,SSC-A,SSC-H,26993,300,89.977,75.261,75.261,323145,246050,289284,230800,214034,209815,154485.07,98127.28,47.81,39.88,141939.67,98500.98,49.07,42.68
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(6).fcs,7a,Experiment,None,,R1,VL1-H,,3540,300,11.800,9.870,16.233,12394,N/A,13119,N/A,16544,N/A,3442.29,N/A,27.77,N/A,3866.62,N/A,29.47,N/A
