Plate,Experiment,Group,Filename,Sample,Workspace,Compensation Source,Plot Title,Gate,X Parameter,Y Parameter,Count,Volume,Concentration,%Total,%Gated,X Mean,Y Mean,X Median,Y Median,X Peak,Y Peak,X SD,Y SD,X %CV,Y %CV,X rSD,Y rSD,X %rCV,Y %rCV
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(10).fcs,8b,Experiment,None,,R7,VL1-H,,7707,300,25.690,39.503,67.345,20247,N/A,19664,N/A,20265,N/A,7492.41,N/A,37.01,N/A,2945.93,N/A,14.98,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(10).fcs,8b,Experiment,None,,R5,VL1-H,,11444,300,38.147,58.657,58.657,14213,N/A,16893,N/A,20265,N/A,10690.79,N/A,75.22,N/A,9244.01,N/A,54.72,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(11).fcs,8c,Experiment,None,N/A,All Events,N/A,N/A,32400,500,64.800,100.000,100.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(11).fcs,8c,Experiment,None,,R4,FSC-A,SSC-A,23838,500,47.676,73.574,73.574,207977,291103,190107,258202,173016,187373,69090.10,144381.84,33.22,49.60,50128.93,126453.92,26.37,48.97
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(11).fcs,8c,Experiment,None,,R5,SSC-A,SSC-H,18504,500,37.008,57.111,77.624,282981,230222,259808,215588,187373,183261,110506.34,79748.60,39.05,34.64,103867.99,78928.43,39.98,36.61
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(11).fcs,8c,Experiment,None,,R4,SSC-A,SSC-H,23838,500,47.676,73.574,73.574,291103,224535,258202,209767,187373,183299,144381.84,93158.99,49.60,41.49,126453.92,90952.32,48.97,43.36
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(11).fcs,8c,Experiment,None,,R1,VL1-H,,3932,500,7.864,12.136,21.249,12681,N/A,13510,N/A,16325,N/A,3391.80,N/A,26.75,N/A,3538.22,N/A,26.19,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(11).fcs,8c,Experiment,None,,R2,VL1-H,,10302,500,20.604,31.796,55.674,16917,N/A,18531,N/A,19722,N/A,4023.62,N/A,23.78,N/A,2655.34,N/A,14.33,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(11).fcs,8c,Experiment,None,,R6,VL1-H,,11528,500,23.056,35.580,62.300,17944,N/A,19028,N/A,19722,N/A,4908.24,N/A,27.35,N/A,2770.24,N/A,14.56,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(11).fcs,8c,Experiment,None,,R7,VL1-H,,12993,500,25.986,40.102,70.217,20080,N/A,19415,N/A,19722,N/A,7751.15,N/A,38.60,N/A,3850.31,N/A,19.83,N/A
190430 D5 DEC RG3039 FxCycle,Experiment,Group,Sample(11).fcs,8c,Experiment,None,,R5,VL1-H,,18504,500,37.008,57.111,57.111,14623,N/A,16787,N/A,19722,N/A,10612.50,N/A,72.57,N/A,8675.43,N/A,51.68,N/A
