GO	[-1.51 -0.14]	[-0.14 -0.09]	[-0.09 -0.05]	[-0.05 -0.03]	[-0.03 -0.00]	[-0.00 0.02]	[0.02 0.04]	[0.04 0.07]	[0.07 0.10]	[0.10 0.14]	[0.14 1.00]
GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY40_DN GSE11961_MARGINAL_ZONE_BCELL_VS_MEMORY_BCELL_DAY40_DN	-0.421	-0.882	-0.548	-3.316	1.773	-1.347	-1.638	0.934	0.934	0.380	3.531
GSE7509_DC_VS_MONOCYTE_WITH_FCGRIIB_STIM_DN GSE7509_DC_VS_MONOCYTE_WITH_FCGRIIB_STIM_DN	2.412	0.847	2.702	0.334	-0.473	-1.748	0.556	-4.073	-0.361	-0.361	-1.191
GSE3982_NKCELL_VS_TH2_DN GSE3982_NKCELL_VS_TH2_DN	1.536	-0.746	0.269	0.754	-1.761	-1.445	-1.445	-1.174	-0.336	0.754	4.318
GSE41867_DAY8_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_UP GSE41867_DAY8_EFFECTOR_VS_DAY30_EXHAUSTED_CD8_TCELL_LCMV_CLONE13_UP	1.245	-0.993	-0.363	0.335	1.694	-2.204	-0.363	-1.230	1.460	-2.635	1.939
GSE369_IFNG_KO_VS_WT_LIVER_DN GSE369_IFNG_KO_VS_WT_LIVER_DN	-0.326	-0.326	-0.560	-0.714	-1.367	-1.114	-0.898	1.996	-1.659	1.296	4.198
GSE17721_POLYIC_VS_PAM3CSK4_24H_BMDC_DN GSE17721_POLYIC_VS_PAM3CSK4_24H_BMDC_DN	-0.633	-0.490	-0.805	0.326	-0.490	-1.250	2.466	0.430	-3.164	0.552	3.074
GSE25085_FETAL_LIVER_VS_ADULT_BM_SP4_THYMIC_IMPLANT_UP GSE25085_FETAL_LIVER_VS_ADULT_BM_SP4_THYMIC_IMPLANT_UP	2.363	-2.308	-0.401	0.515	0.970	-0.301	-0.401	-1.061	-1.925	-0.673	2.647
GSE7852_TREG_VS_TCONV_THYMUS_DN GSE7852_TREG_VS_TCONV_THYMUS_DN	-0.548	-0.548	2.297	-1.973	2.887	-0.700	0.491	-0.700	0.768	0.380	-2.366
GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_UP GSE13485_CTRL_VS_DAY1_YF17D_VACCINE_PBMC_UP	-1.878	-0.382	0.420	-0.501	-1.027	-3.194	2.150	0.420	0.318	1.640	1.196
GSE6681_DELETED_FOXP3_VS_WT_TREG_UP GSE6681_DELETED_FOXP3_VS_WT_TREG_UP	-0.785	-1.770	0.544	-0.370	-1.770	3.623	-0.785	1.392	0.678	0.544	-0.982
GSE2405_HEAT_KILLED_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_9H_UP GSE2405_HEAT_KILLED_VS_LIVE_A_PHAGOCYTOPHILUM_STIM_NEUTROPHIL_9H_UP	1.057	0.458	0.722	-1.150	-0.343	0.458	-1.150	-0.742	-2.046	-0.742	4.102
GSE20366_CD103_POS_VS_CD103_KLRG1_DP_TREG_UP GSE20366_CD103_POS_VS_CD103_KLRG1_DP_TREG_UP	0.881	0.581	-0.452	0.352	0.458	0.458	1.057	0.458	-1.150	0.581	-5.535
GSE26928_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN GSE26928_NAIVE_VS_EFF_MEMORY_CD4_TCELL_DN	0.285	-0.425	1.150	-1.136	-2.077	-0.318	-0.425	-1.403	1.836	3.000	-0.560
GSE17721_POLYIC_VS_GARDIQUIMOD_0.5H_BMDC_DN GSE17721_POLYIC_VS_GARDIQUIMOD_0.5H_BMDC_DN	2.894	0.309	-0.646	-3.563	-0.505	-0.293	-1.241	0.650	0.406	0.309	1.141
GSE11818_WT_VS_DICER_KO_TREG_DN GSE11818_WT_VS_DICER_KO_TREG_DN	1.539	-2.065	0.897	-0.276	0.328	-1.360	0.440	-0.663	-0.855	3.000	-0.859
GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY3_UP GSE24634_IL4_VS_CTRL_TREATED_NAIVE_CD4_TCELL_DAY3_UP	1.538	-0.398	2.857	-0.659	-1.028	-1.028	1.324	-1.529	-0.398	-1.260	0.633
GSE21546_WT_VS_ELK1_KO_DP_THYMOCYTES_DN GSE21546_WT_VS_ELK1_KO_DP_THYMOCYTES_DN	-1.347	0.491	-0.421	0.934	0.380	0.285	-1.973	0.285	4.258	-0.882	-0.704
GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN GSE22443_NAIVE_VS_ACT_AND_IL2_TREATED_CD8_TCELL_DN	-0.685	-0.417	1.490	0.911	-1.297	2.784	-2.653	-0.539	0.286	0.485	-0.542
GSE42021_CD24LO_TREG_VS_CD24LO_TCONV_THYMUS_DN GSE42021_CD24LO_TREG_VS_CD24LO_TCONV_THYMUS_DN	1.000	-1.770	0.426	0.426	-1.770	0.544	0.326	-0.621	-1.204	-0.278	3.279
GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_GRAN_MONO_PROGENITOR_DN GSE37301_COMMON_LYMPHOID_PROGENITOR_VS_GRAN_MONO_PROGENITOR_DN	0.463	-2.153	1.750	1.087	0.903	-1.466	0.738	-0.595	-1.192	-0.959	0.899
