GO	[-5.47 -0.81]	[-0.81 -0.26]	[-0.26 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.20]	[0.20 0.73]	[0.73 6.80]
GSE6269_FLU_VS_STREP_PNEUMO_INF_PBMC_DN GSE6269_FLU_VS_STREP_PNEUMO_INF_PBMC_DN	1.441	1.977	1.977	-1.165	-1.165	-0.280	-0.280	0.323	-1.165	-1.165	-0.582
GSE33425_CD8_ALPHAALPHA_VS_ALPHABETA_CD161_HIGH_TCELL_UP GSE33425_CD8_ALPHAALPHA_VS_ALPHABETA_CD161_HIGH_TCELL_UP	-2.301	0.917	2.514	0.416	-0.957	-0.366	-0.957	0.244	0.244	-1.480	1.622
GSE8621_LPS_PRIMED_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP GSE8621_LPS_PRIMED_UNSTIM_VS_LPS_PRIMED_AND_LPS_STIM_MACROPHAGE_UP	-1.123	-1.123	2.699	-0.552	-1.123	0.645	0.346	1.036	-1.123	0.645	-0.260
GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_6H_DN GSE2770_UNTREATED_VS_IL4_TREATED_ACT_CD4_TCELL_6H_DN	-1.623	1.429	0.346	2.250	-1.074	-0.260	-0.697	0.790	-0.436	0.790	-2.470
GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_18H_UP GSE18791_CTRL_VS_NEWCASTLE_VIRUS_DC_18H_UP	-2.470	0.346	-0.697	3.240	-0.697	1.429	0.346	-0.436	-0.697	-1.074	0.790
GSE7548_NAIVE_VS_DAY7_PCC_IMMUNIZATION_CD4_TCELL_DN GSE7548_NAIVE_VS_DAY7_PCC_IMMUNIZATION_CD4_TCELL_DN	-0.538	-2.174	0.286	-0.871	-0.871	0.724	2.734	1.784	-0.871	-0.538	0.477
GSE40274_FOXP3_VS_FOXP3_AND_SATB1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN GSE40274_FOXP3_VS_FOXP3_AND_SATB1_TRANSDUCED_ACTIVATED_CD4_TCELL_DN	-0.816	1.105	-0.495	0.317	-2.090	0.786	0.317	0.786	-2.090	-0.495	1.901
GSE17721_CTRL_VS_GARDIQUIMOD_0.5H_BMDC_UP GSE17721_CTRL_VS_GARDIQUIMOD_0.5H_BMDC_UP	0.561	3.858	0.241	-1.666	-0.829	0.241	1.038	-1.186	-0.829	0.780	-1.186
GSE360_DC_VS_MAC_B_MALAYI_LOW_DOSE_UP GSE360_DC_VS_MAC_B_MALAYI_LOW_DOSE_UP	-1.623	-0.260	1.429	-0.260	-2.470	0.346	2.250	-0.697	0.346	0.790	-0.697
GSE26488_CTRL_VS_PEPTIDE_INJECTION_HDAC7_DELTAP_TG_OT2_THYMOCYTE_DN GSE26488_CTRL_VS_PEPTIDE_INJECTION_HDAC7_DELTAP_TG_OT2_THYMOCYTE_DN	0.453	0.453	-1.795	-0.355	2.937	0.253	1.047	0.253	-0.628	-1.795	-0.628
