	logFC	SE	t.value	p.value
A1CF_+_52645339.23-P1P2	-0.483467835725759	3.3490901732094	-0.14435796312479	0.898451183935078
A2M_-_9268273.23-P1P2	-0.874599326053671	1.51613294233656	-0.576861897549563	0.622309617476958
A4GALT_+_43116425.23-P1P2	-1.1474076549054	1.20800755147238	-0.949834836302877	0.442447899582709
AAAS_-_53715371.23-P1P2	-0.510913714973795	2.07787916422501	-0.245882303345753	0.828704727070283
AADACL2_-_151451828.23-P1P2	-1.5304718734563	1.34176793820639	-1.14063828019483	0.372199702367865
AADACL2_+_151451926.23-P1P2	-1.91563964642039	2.20404170588085	-0.869148547102831	0.476399360114501
AADACL4_+_12704601.23-P1P2	0.0207975709904507	0.825389002150502	0.0251972959856067	0.982185648516171
AAED1_-_99417574.23-P1P2	-1.0418775895454	0.983761619511054	-1.05907525652731	0.400574263801415
AAK1_+_69870701.23-P1P2	-0.456601391267461	1.97041378947712	-0.231728682424937	0.838299455267084
AAMP_-_219134424.23-P1P2	-3.48872510853629	2.06136076357737	-1.69243791294534	0.232637605517896
AAMP_-_219134469.23-P1P2	-1.64109130088683	1.15219645604206	-1.42431552560419	0.29038120975591
AANAT_-_74464175.23-P1P2	-0.676443902940458	1.18318678786759	-0.571713536591787	0.625205087396742
AANAT_+_74463735.23-P1P2	-2.57791642856748	1.0175845552959	-2.53336827406727	0.126837586896347
AARD_-_117950494.23-P1P2	-3.75187171916034	2.05403662309859	-1.82658462705524	0.209293795577502
AARD_+_117950890.23-P1P2	0.317050796063855	0.976198012558424	0.324781234939136	0.776171659580646
AARSD1_-_41116425.23-P1	-0.866320272055749	0.5932383939421	-1.46032401291327	0.281642936164541
AASDHPPT_+_105948813.23-P1P2	0.559764209648976	1.00461803189881	0.557191083451864	0.633431829553131
ABAT_+_8807464.23-P2	1.25731395904688	0.209796122209973	5.99302763941702	0.026731101464594
ABCA10_-_67224447.23-P1P2	-1.2679117046573	1.07208324901767	-1.18266161309681	0.358487947371512
