GO	[-22.20 -0.66]	[-0.66 -0.24]	[-0.24 -0.05]	[-0.05 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.16]	[0.16 0.47]	[0.47 1.01]	[1.01 24.36]
chrYp11 chrYp11	-0.551	-4.726	-4.726	2.498	2.498	4.104	6.055	-1.331	-3.631	-1.728	-1.732
MT MT	-1.532	-0.860	-0.476	-1.532	-1.532	-1.532	-1.532	-0.860	7.377	1.788	2.300
chr7q34 chr7q34	-3.634	-2.146	-0.956	0.901	3.190	5.041	3.190	-0.759	-2.571	-1.461	-0.762
chrXq27 chrXq27	-1.196	-2.323	-0.841	0.994	0.367	6.488	2.750	-0.841	-1.673	-0.841	-1.199
chr21q11 chr21q11	0.226	-1.123	-1.123	0.226	3.896	0.958	1.736	-1.123	-1.864	-1.123	0.225
chr16q22 chr16q22	-0.581	3.931	0.919	0.604	-3.033	-3.033	-0.581	-0.581	1.105	0.363	0.268
chr16q24 chr16q24	0.967	2.005	3.409	-0.551	-0.981	-2.599	-2.067	-0.399	0.445	-0.742	0.320
chrXq21 chrXq21	0.496	-0.368	-0.521	1.082	1.082	1.609	1.332	-0.521	-2.769	-2.769	-0.523
chr16p12 chr16p12	0.644	1.428	2.863	-1.252	-2.875	0.378	-1.929	0.500	0.500	-0.328	-0.595
chr2q22 chr2q22	0.560	-0.908	-1.330	-0.908	2.544	2.544	1.062	-0.389	-1.330	-0.605	-0.911
chr1q22 chr1q22	0.373	1.727	1.727	-0.389	-0.908	-2.817	-1.330	1.062	0.560	-0.605	-0.391
chr13q31 chr13q31	1.254	-2.260	-1.706	0.997	0.279	1.254	1.857	0.412	-1.275	-0.475	-0.941
chr2q21 chr2q21	0.292	-2.479	-1.271	-0.579	1.543	2.410	1.811	-0.766	-0.766	-0.579	0.401
chr2p12 chr2p12	0.546	-0.782	-1.258	0.814	2.410	0.814	1.137	-1.258	-1.258	-0.270	-1.260
chrXq26 chrXq26	-1.252	-2.875	-0.446	0.378	1.428	1.676	1.676	-1.252	-0.446	-0.328	0.498
chr2p23 chr2p23	1.514	0.523	2.698	-0.593	-1.013	-1.013	-3.086	-0.320	0.283	0.283	0.520
chr3q26 chr3q26	1.608	-0.658	-3.213	1.608	-0.512	0.986	0.815	-0.834	-0.658	0.662	-0.837
chr6q23 chr6q23	0.462	1.309	-3.253	-0.808	1.053	0.323	1.053	0.827	-1.095	-0.410	-0.586
