GO	[-22.20 -0.78]	[-0.78 -0.26]	[-0.26 -0.02]	[-0.02 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.11]	[0.11 0.45]	[0.45 0.97]	[0.97 24.36]
TNRC6C_HEK293_Plass TNRC6C_HEK293_Plass	-0.556	1.581	9.522	-2.970	-5.947	-5.947	-7.214	0.631	8.988	-0.318	-1.401
TNRC6A_HEK293_Plass TNRC6A_HEK293_Plass	-1.342	0.292	10.411	-2.694	-5.346	-5.346	-5.346	1.612	4.933	1.114	-1.344
HNRNPU_K562_POSTAR_eCLIP HNRNPU_K562_POSTAR_eCLIP	-0.788	3.436	11.878	-0.989	-3.696	-4.369	-5.168	-3.120	4.527	-0.989	0.334
HNRNPA1_K562_POSTAR_eCLIP HNRNPA1_K562_POSTAR_eCLIP	-2.533	1.814	9.603	-1.481	-3.515	-5.649	-4.120	-0.493	7.614	-0.632	0.316
BCCIP_HepG2_POSTAR_eCLIP BCCIP_HepG2_POSTAR_eCLIP	0.812	5.413	8.584	-2.133	-4.120	-2.991	-5.649	-0.991	2.331	-0.991	-0.634
YWHAG_K562_POSTAR_eCLIP YWHAG_K562_POSTAR_eCLIP	-0.401	5.103	8.272	-3.825	-3.241	-3.241	-5.315	-0.401	1.580	-0.671	0.645
PTBP1_HeLa_POSTAR_CIMS PTBP1_HeLa_POSTAR_CIMS	0.355	2.357	4.431	-2.735	-4.690	-4.690	-1.528	-0.780	4.044	-0.989	1.553
FUS_HEK293T_POSTAR_Piranha_0.01 FUS_HEK293T_POSTAR_Piranha_0.01	-0.388	3.852	1.555	-0.644	-4.153	-5.687	-3.546	-0.293	5.768	-0.293	0.404
SLBP_K562_POSTAR_eCLIP SLBP_K562_POSTAR_eCLIP	-1.090	4.804	4.804	-1.380	-1.090	-6.010	-2.628	-1.090	2.218	-0.359	0.468
IGF2BP3_PL45_POSTAR_Piranha_0.01 IGF2BP3_PL45_POSTAR_Piranha_0.01	-1.314	1.745	5.444	-1.652	-1.652	-3.117	-4.702	-0.607	1.245	0.659	2.023
HNRNPU_HeLa_POSTAR_CIMS HNRNPU_HeLa_POSTAR_CIMS	-0.554	0.659	6.406	-1.441	-3.154	-2.618	-2.162	-1.441	4.650	0.659	0.292
HNRNPUL1_K562_POSTAR_eCLIP HNRNPUL1_K562_POSTAR_eCLIP	0.267	5.113	5.113	-1.027	-2.616	-1.417	-3.604	-0.338	0.576	-1.027	-0.505
YTHDC2_HEK293T_POSTAR_Piranha_0.01 YTHDC2_HEK293T_POSTAR_Piranha_0.01	0.271	1.712	3.971	-2.066	-3.440	-2.665	-2.665	-0.334	3.971	0.271	-0.335
PPIL4_K562_POSTAR_eCLIP PPIL4_K562_POSTAR_eCLIP	0.464	4.549	5.456	-1.866	-1.866	-3.572	-1.866	-1.164	0.781	-0.685	0.463
NPM1_K562_POSTAR_eCLIP NPM1_K562_POSTAR_eCLIP	0.628	2.496	8.010	-1.272	-2.389	-1.954	-3.516	-0.338	0.790	-0.788	-0.608
HLTF_K562_POSTAR_eCLIP HLTF_K562_POSTAR_eCLIP	-0.282	4.231	4.675	-0.551	-2.598	-4.087	-3.254	-0.399	0.768	0.321	-0.400
HNRNPM_HEK293T_POSTAR_CIMS HNRNPM_HEK293T_POSTAR_CIMS	0.994	1.427	4.752	-1.561	-4.217	-2.361	-1.561	-1.928	2.534	-0.328	0.642
MBNL2_frontalcortex_POSTAR_CIMS MBNL2_frontalcortex_POSTAR_CIMS	-0.384	0.690	4.612	-0.284	-3.407	-4.836	-2.852	1.452	1.452	-0.284	0.422
TNRC6C_HEK293_POSTAR_Piranha_0.01 TNRC6C_HEK293_POSTAR_Piranha_0.01	0.326	3.062	3.392	-2.220	-3.150	-4.403	-1.006	0.690	1.659	-0.489	0.325
EZH2_HCT116_POSTAR_Piranha_0.01 EZH2_HCT116_POSTAR_Piranha_0.01	0.456	2.729	2.342	-2.159	-2.159	-2.159	-3.894	-0.623	1.350	0.456	1.077
EZH2_HCT116_POSTAR_iCLIP EZH2_HCT116_POSTAR_iCLIP	0.456	2.729	2.342	-2.159	-2.159	-2.159	-3.894	-0.623	1.350	0.456	1.077
TARBP2_MDA-LM2_POSTAR_CIMS TARBP2_MDA-LM2_POSTAR_CIMS	-0.685	2.960	2.960	-1.866	-2.888	-2.888	-1.482	2.285	0.975	-0.685	0.339
YTHDF3_HEK293T_POSTAR_Piranha_0.01 YTHDF3_HEK293T_POSTAR_Piranha_0.01	0.330	2.914	4.928	-1.893	-1.506	-2.358	-2.358	0.451	1.167	-0.919	-0.385
NSUN2_K562_POSTAR_eCLIP NSUN2_K562_POSTAR_eCLIP	0.774	4.421	2.765	-1.783	-2.282	-1.379	-2.905	0.312	-0.291	-0.417	0.438
TNRC6C_HEK293_POSTAR_PARalyzer TNRC6C_HEK293_POSTAR_PARalyzer	0.821	2.206	1.427	-1.773	-0.920	-4.544	-1.773	0.517	2.206	-0.720	0.516
TAF15_Brain_POSTAR_CIMS TAF15_Brain_POSTAR_CIMS	-0.372	1.135	3.587	-1.824	-1.824	-3.138	-1.378	0.687	1.135	-0.372	0.894
TARDBP_H9_POSTAR_CIMS TARDBP_H9_POSTAR_CIMS	-0.368	1.082	2.964	-0.718	-2.768	-0.718	-3.553	-0.718	1.607	1.331	-0.253
TARDBP_H9_POSTAR_iCLIP TARDBP_H9_POSTAR_iCLIP	-0.291	0.982	2.765	-0.790	-2.282	-0.790	-3.705	-0.790	2.072	1.216	-0.292
TIA1_NA_POSTAR_CIMS TIA1_NA_POSTAR_CIMS	-0.392	2.203	3.894	-1.123	-0.675	-0.675	-0.675	-0.675	0.654	-1.863	0.226
TIA1_NA_POSTAR_iCLIP TIA1_NA_POSTAR_iCLIP	-0.392	2.203	3.894	-1.123	-0.675	-0.675	-0.675	-0.675	0.654	-1.863	0.226
TNRC6B_HEK293_POSTAR_Piranha_0.01 TNRC6B_HEK293_POSTAR_Piranha_0.01	-0.397	1.554	2.689	-1.223	-0.595	-2.359	-0.595	0.520	1.554	-1.704	-0.255
SBDS_K562_POSTAR_eCLIP SBDS_K562_POSTAR_eCLIP	-0.598	1.083	1.927	-1.739	-1.023	-1.023	-1.023	0.749	1.927	0.477	-1.024
ALKBH1_HeLa_POSTAR_CIMS ALKBH1_HeLa_POSTAR_CIMS	0.664	0.435	3.049	-0.348	-2.236	-1.430	-0.348	-0.919	0.259	-0.577	1.272
TIAL1_NA_POSTAR_CIMS TIAL1_NA_POSTAR_CIMS	-0.497	1.730	1.730	-0.497	-0.497	-0.497	-0.497	-0.497	1.052	-0.497	0.166
TIAL1_NA_POSTAR_iCLIP TIAL1_NA_POSTAR_iCLIP	-0.497	1.730	1.730	-0.497	-0.497	-0.497	-0.497	-0.497	1.052	-0.497	0.166
