Sample	salmon_version	samp_type	opt_type	quant_errors	num_libraries	library_types	frag_dist_length	seq_bias_correct	gc_bias_correct	num_bias_bins	mapping_type	keep_duplicates	num_valid_targets	num_decoy_targets	num_eq_classes	serialized_eq_classes	eq_class_properties	length_classes	index_seq_hash	index_name_hash	index_seq_hash512	index_name_hash512	index_decoy_seq_hash	index_decoy_name_hash	num_bootstraps	num_processed	num_mapped	num_decoy_fragments	num_dovetail_fragments	num_fragments_filtered_vm	num_alignments_below_threshold_for_mapped_fragments_vm	percent_mapped	call	start_time	end_time
hl60_72h_u_1	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	227201	0	544154	False	['range_factorized', 'gzipped']	[539, 719, 1200, 2366, 347561]	f6f7d26b3f97e2df84e1807404dacea8e401fb5340181a2d3788f2bd6c36f90c	e76259feeeea09cda3f19353228fad640e0b428b440e5c9d660a20e8d9f63aa4	ebb77560638a2386e67e46822f839faad0a1daf6f905f47f05bf76a51666268c34ec324c5f320e0507e6154ef8d8f4052575519317f89aaf5bfe5ed378326757	c9495a1c5b6cb328789ef40321be2ccc735bd3e64a78f64ba6990a84e7b90dfc18e76a7ce815ed921c94cd62cd12e226d299419c1ed47ded17f1ca463d7f2be3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	31288883	25163482	0	0	336698	63024750	80.42307550576349	quant	Sat Aug 15 12:34:15 2020	Sat Aug 15 12:35:51 2020
hl60_72h_u_2	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	227201	0	614746	False	['range_factorized', 'gzipped']	[539, 719, 1200, 2366, 347561]	f6f7d26b3f97e2df84e1807404dacea8e401fb5340181a2d3788f2bd6c36f90c	e76259feeeea09cda3f19353228fad640e0b428b440e5c9d660a20e8d9f63aa4	ebb77560638a2386e67e46822f839faad0a1daf6f905f47f05bf76a51666268c34ec324c5f320e0507e6154ef8d8f4052575519317f89aaf5bfe5ed378326757	c9495a1c5b6cb328789ef40321be2ccc735bd3e64a78f64ba6990a84e7b90dfc18e76a7ce815ed921c94cd62cd12e226d299419c1ed47ded17f1ca463d7f2be3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	42310686	33515574	0	0	412051	79413329	79.2130243409431	quant	Sat Aug 15 12:35:53 2020	Sat Aug 15 12:38:08 2020
kg1_t_1	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	227201	0	564562	False	['range_factorized', 'gzipped']	[539, 719, 1200, 2366, 347561]	f6f7d26b3f97e2df84e1807404dacea8e401fb5340181a2d3788f2bd6c36f90c	e76259feeeea09cda3f19353228fad640e0b428b440e5c9d660a20e8d9f63aa4	ebb77560638a2386e67e46822f839faad0a1daf6f905f47f05bf76a51666268c34ec324c5f320e0507e6154ef8d8f4052575519317f89aaf5bfe5ed378326757	c9495a1c5b6cb328789ef40321be2ccc735bd3e64a78f64ba6990a84e7b90dfc18e76a7ce815ed921c94cd62cd12e226d299419c1ed47ded17f1ca463d7f2be3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	35196796	22356173	0	0	346835	62024734	63.517636662155276	quant	Sun Aug 30 22:21:59 2020	Sun Aug 30 22:23:51 2020
kg1_t_2	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	227201	0	286412	False	['range_factorized', 'gzipped']	[539, 719, 1200, 2366, 347561]	f6f7d26b3f97e2df84e1807404dacea8e401fb5340181a2d3788f2bd6c36f90c	e76259feeeea09cda3f19353228fad640e0b428b440e5c9d660a20e8d9f63aa4	ebb77560638a2386e67e46822f839faad0a1daf6f905f47f05bf76a51666268c34ec324c5f320e0507e6154ef8d8f4052575519317f89aaf5bfe5ed378326757	c9495a1c5b6cb328789ef40321be2ccc735bd3e64a78f64ba6990a84e7b90dfc18e76a7ce815ed921c94cd62cd12e226d299419c1ed47ded17f1ca463d7f2be3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	7307251	4321730	0	0	82955	13807451	59.14303477463686	quant	Sun Aug 30 22:23:53 2020	Sun Aug 30 22:24:34 2020
kg1_t_3	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	227201	0	553074	False	['range_factorized', 'gzipped']	[539, 719, 1200, 2366, 347561]	f6f7d26b3f97e2df84e1807404dacea8e401fb5340181a2d3788f2bd6c36f90c	e76259feeeea09cda3f19353228fad640e0b428b440e5c9d660a20e8d9f63aa4	ebb77560638a2386e67e46822f839faad0a1daf6f905f47f05bf76a51666268c34ec324c5f320e0507e6154ef8d8f4052575519317f89aaf5bfe5ed378326757	c9495a1c5b6cb328789ef40321be2ccc735bd3e64a78f64ba6990a84e7b90dfc18e76a7ce815ed921c94cd62cd12e226d299419c1ed47ded17f1ca463d7f2be3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	34136365	21723646	0	0	374343	71117577	63.637841931910444	quant	Sun Aug 30 22:24:36 2020	Sun Aug 30 22:26:32 2020
kg1_u_1	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	227201	0	515127	False	['range_factorized', 'gzipped']	[539, 719, 1200, 2366, 347561]	f6f7d26b3f97e2df84e1807404dacea8e401fb5340181a2d3788f2bd6c36f90c	e76259feeeea09cda3f19353228fad640e0b428b440e5c9d660a20e8d9f63aa4	ebb77560638a2386e67e46822f839faad0a1daf6f905f47f05bf76a51666268c34ec324c5f320e0507e6154ef8d8f4052575519317f89aaf5bfe5ed378326757	c9495a1c5b6cb328789ef40321be2ccc735bd3e64a78f64ba6990a84e7b90dfc18e76a7ce815ed921c94cd62cd12e226d299419c1ed47ded17f1ca463d7f2be3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	28749307	18234183	0	0	294899	54042391	63.42477403020532	quant	Sun Aug 30 22:26:34 2020	Sun Aug 30 22:28:07 2020
kg1_u_2	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	227201	0	238307	False	['range_factorized', 'gzipped']	[539, 719, 1200, 2366, 347561]	f6f7d26b3f97e2df84e1807404dacea8e401fb5340181a2d3788f2bd6c36f90c	e76259feeeea09cda3f19353228fad640e0b428b440e5c9d660a20e8d9f63aa4	ebb77560638a2386e67e46822f839faad0a1daf6f905f47f05bf76a51666268c34ec324c5f320e0507e6154ef8d8f4052575519317f89aaf5bfe5ed378326757	c9495a1c5b6cb328789ef40321be2ccc735bd3e64a78f64ba6990a84e7b90dfc18e76a7ce815ed921c94cd62cd12e226d299419c1ed47ded17f1ca463d7f2be3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	4829179	2852852	0	0	56131	9467216	59.075300377144856	quant	Sun Aug 30 22:28:09 2020	Sun Aug 30 22:28:42 2020
kg1_u_3	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	227201	0	630397	False	['range_factorized', 'gzipped']	[539, 719, 1200, 2366, 347561]	f6f7d26b3f97e2df84e1807404dacea8e401fb5340181a2d3788f2bd6c36f90c	e76259feeeea09cda3f19353228fad640e0b428b440e5c9d660a20e8d9f63aa4	ebb77560638a2386e67e46822f839faad0a1daf6f905f47f05bf76a51666268c34ec324c5f320e0507e6154ef8d8f4052575519317f89aaf5bfe5ed378326757	c9495a1c5b6cb328789ef40321be2ccc735bd3e64a78f64ba6990a84e7b90dfc18e76a7ce815ed921c94cd62cd12e226d299419c1ed47ded17f1ca463d7f2be3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	49258377	30652146	0	0	577668	92315777	62.22727557588834	quant	Sun Aug 30 22:28:45 2020	Sun Aug 30 22:31:11 2020
molm14_t_1	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	227201	0	473473	False	['range_factorized', 'gzipped']	[539, 719, 1200, 2366, 347561]	f6f7d26b3f97e2df84e1807404dacea8e401fb5340181a2d3788f2bd6c36f90c	e76259feeeea09cda3f19353228fad640e0b428b440e5c9d660a20e8d9f63aa4	ebb77560638a2386e67e46822f839faad0a1daf6f905f47f05bf76a51666268c34ec324c5f320e0507e6154ef8d8f4052575519317f89aaf5bfe5ed378326757	c9495a1c5b6cb328789ef40321be2ccc735bd3e64a78f64ba6990a84e7b90dfc18e76a7ce815ed921c94cd62cd12e226d299419c1ed47ded17f1ca463d7f2be3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	23226861	14808798	0	0	243752	36666773	63.757207657117334	quant	Sun Aug 30 22:31:13 2020	Sun Aug 30 22:32:32 2020
molm14_t_2	1.2.1	none	vb	[]	1	['SF']	1001	False	False	4096	mapping	False	227201	0	198417	False	['range_factorized', 'gzipped']	[539, 719, 1200, 2366, 347561]	f6f7d26b3f97e2df84e1807404dacea8e401fb5340181a2d3788f2bd6c36f90c	e76259feeeea09cda3f19353228fad640e0b428b440e5c9d660a20e8d9f63aa4	ebb77560638a2386e67e46822f839faad0a1daf6f905f47f05bf76a51666268c34ec324c5f320e0507e6154ef8d8f4052575519317f89aaf5bfe5ed378326757	c9495a1c5b6cb328789ef40321be2ccc735bd3e64a78f64ba6990a84e7b90dfc18e76a7ce815ed921c94cd62cd12e226d299419c1ed47ded17f1ca463d7f2be3	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855	0	3171259	1891267	0	0	36404	4875197	59.63773378333337	quant	Sun Aug 30 22:32:34 2020	Sun Aug 30 22:32:56 2020
