GO	[-9.50 -0.56]	[-0.56 -0.44]	[-0.44 -0.20]	[-0.20 -0.09]	[-0.09 -0.01]	[-0.01 0.00]	[0.00 0.06]	[0.06 0.16]	[0.16 0.32]	[0.32 0.83]	[0.83 5.93]
GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_MEMBRANE GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_MEMBRANE	3.364	4.259	-2.537	-0.601	-1.950	-0.424	0.312	-2.537	-1.488	0.312	1.279
GOCC_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE GOCC_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	2.747	4.456	-2.674	-0.668	-1.214	-0.910	0.393	-1.596	-0.910	-0.910	2.033
GOCC_POTASSIUM_CHANNEL_COMPLEX GOCC_POTASSIUM_CHANNEL_COMPLEX	4.200	1.475	-1.770	-0.348	-1.770	-0.506	-0.985	-1.330	-2.333	0.541	2.870
GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_SPECIALIZATION_MEMBRANE	3.435	4.513	-1.964	-0.405	-1.363	-0.405	0.539	-1.363	-0.935	-1.363	0.356
GOCC_NEUROTRANSMITTER_RECEPTOR_COMPLEX GOCC_NEUROTRANSMITTER_RECEPTOR_COMPLEX	2.342	2.851	-0.810	-2.073	-0.285	0.317	-1.294	-2.073	-1.294	0.317	1.461
GOCC_INTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE GOCC_INTRINSIC_COMPONENT_OF_SYNAPTIC_MEMBRANE	2.755	4.713	-1.609	-0.580	-1.609	-0.430	-0.580	-1.609	-1.275	-0.430	1.546
GOCC_GOLGI_LUMEN GOCC_GOLGI_LUMEN	2.076	2.076	-0.521	-3.110	-1.007	1.744	-0.733	-1.007	-1.356	-0.733	1.741
GOCC_MOTILE_CILIUM GOCC_MOTILE_CILIUM	2.285	2.285	-0.517	-0.398	-1.029	-0.517	-1.262	-1.531	-2.603	-0.301	3.496
GOCC_MAIN_AXON GOCC_MAIN_AXON	6.544	0.301	-0.762	-1.713	-1.152	-0.301	-0.489	-0.762	-1.152	0.478	0.970
GOCC_ADHERENS_JUNCTION GOCC_ADHERENS_JUNCTION	4.158	0.998	0.403	-0.690	-0.878	-4.150	-0.405	-1.671	0.301	0.523	0.818
GOCC_CILIARY_PLASM GOCC_CILIARY_PLASM	3.191	0.645	-0.365	-0.510	-0.254	-3.987	-0.694	-0.510	-1.560	1.040	1.272
GOCC_SODIUM_CHANNEL_COMPLEX GOCC_SODIUM_CHANNEL_COMPLEX	2.795	1.580	-0.241	-1.077	-1.077	-0.241	-0.520	-1.077	-1.077	0.371	0.683
GOCC_NODE_OF_RANVIER GOCC_NODE_OF_RANVIER	5.080	0.434	-0.580	-0.580	-0.580	-0.199	-0.580	-0.580	-0.580	0.434	-0.200
GOCC_VOLTAGE_GATED_SODIUM_CHANNEL_COMPLEX GOCC_VOLTAGE_GATED_SODIUM_CHANNEL_COMPLEX	3.363	1.822	0.332	-0.704	-0.704	-0.272	-0.272	-0.704	-0.704	-0.272	-0.705
GOCC_APICAL_JUNCTION_COMPLEX GOCC_APICAL_JUNCTION_COMPLEX	5.838	-0.283	-0.539	-0.539	-0.941	-1.536	0.320	-0.941	-0.539	0.439	0.580
GOCC_CATENIN_COMPLEX GOCC_CATENIN_COMPLEX	2.179	1.185	-0.702	-0.702	-0.702	-1.326	-0.702	-1.326	0.794	0.794	0.479
GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_DENSITY_MEMBRANE GOCC_INTRINSIC_COMPONENT_OF_POSTSYNAPTIC_DENSITY_MEMBRANE	2.342	2.342	-1.294	-0.285	-0.810	-0.492	1.097	-0.810	-0.492	-1.294	-0.286
GOCC_9PLUS2_MOTILE_CILIUM GOCC_9PLUS2_MOTILE_CILIUM	2.004	1.699	0.413	-0.443	-0.613	-0.311	-1.434	-1.099	-2.353	0.291	1.417
GOCC_I_BAND GOCC_I_BAND	2.025	2.338	0.802	-0.499	-1.147	-1.847	-0.362	-0.885	-0.885	-0.671	0.998
GOCC_LEADING_EDGE_MEMBRANE GOCC_LEADING_EDGE_MEMBRANE	2.422	0.803	-0.546	0.293	0.647	-3.522	-1.694	-0.310	0.647	0.392	-0.311
GOCC_PARANODAL_JUNCTION GOCC_PARANODAL_JUNCTION	2.453	-0.331	0.273	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	1.528	-0.331
GOCC_ZONULA_ADHERENS GOCC_ZONULA_ADHERENS	2.453	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	-0.331	0.795	-0.331	0.795
