GO	[-8.85 -1.02]	[-1.02 -0.60]	[-0.60 -0.32]	[-0.32 -0.08]	[-0.08 0.00]	[0.00 0.00]	[0.00 0.22]	[0.22 0.50]	[0.50 0.92]	[0.92 1.96]	[1.96 11.51]
FAN_EMBRYONIC_CTX_BRAIN_MYELOID FAN_EMBRYONIC_CTX_BRAIN_MYELOID	-0.751	-1.980	-0.977	-0.301	-0.751	-3.725	-0.566	0.710	4.330	4.330	-0.300
RUBENSTEIN_SKELETAL_MUSCLE_B_CELLS RUBENSTEIN_SKELETAL_MUSCLE_B_CELLS	-0.761	3.543	1.086	1.086	-1.466	-4.317	1.086	1.509	0.353	-2.152	-1.781
MENON_FETAL_KIDNEY_0_CAP_MESENCHYME_CELLS MENON_FETAL_KIDNEY_0_CAP_MESENCHYME_CELLS	-0.555	-1.102	-0.555	-0.555	-2.032	-2.733	-0.247	5.419	3.866	-0.247	-0.554
AIZARANI_LIVER_C31_KUPFFER_CELLS_5 AIZARANI_LIVER_C31_KUPFFER_CELLS_5	-1.872	-0.629	-0.629	-1.872	-1.120	-3.017	0.400	3.003	3.395	2.286	-0.321
CUI_DEVELOPING_HEART_C7_MAST_CELL CUI_DEVELOPING_HEART_C7_MAST_CELL	-5.223	-1.613	-1.030	0.357	0.259	-2.426	0.955	0.475	1.884	2.167	1.624
DESCARTES_FETAL_CEREBELLUM_OLIGODENDROCYTES DESCARTES_FETAL_CEREBELLUM_OLIGODENDROCYTES	-0.334	-1.214	-1.214	-1.594	4.929	4.446	-1.594	-1.594	-0.334	-0.479	0.544
DESCARTES_FETAL_INTESTINE_CHROMAFFIN_CELLS DESCARTES_FETAL_INTESTINE_CHROMAFFIN_CELLS	0.356	-0.720	-1.285	-0.971	2.243	5.712	-2.774	-0.522	-2.163	-0.252	0.861
LAKE_ADULT_KIDNEY_C26_MESANGIAL_CELLS LAKE_ADULT_KIDNEY_C26_MESANGIAL_CELLS	-0.761	-0.595	-1.466	-2.152	-0.959	-3.073	-0.345	1.288	2.278	4.661	0.904
DESCARTES_FETAL_PANCREAS_ACINAR_CELLS DESCARTES_FETAL_PANCREAS_ACINAR_CELLS	-0.730	-1.933	-0.730	-1.933	0.783	7.524	-0.730	-0.730	-0.338	-0.730	1.607
DESCARTES_FETAL_ADRENAL_MYELOID_CELLS DESCARTES_FETAL_ADRENAL_MYELOID_CELLS	0.552	-1.529	-0.806	-1.854	-0.634	-1.854	-1.529	-0.277	1.221	6.622	1.437
DESCARTES_FETAL_LIVER_MEGAKARYOCYTES DESCARTES_FETAL_LIVER_MEGAKARYOCYTES	0.347	-1.048	-2.012	-2.977	-1.048	-0.259	-0.635	-0.823	1.134	4.604	3.087
DESCARTES_FETAL_ADRENAL_LYMPHOID_CELLS DESCARTES_FETAL_ADRENAL_LYMPHOID_CELLS	-0.722	-0.419	-2.171	-1.446	-0.555	1.209	-0.722	-2.171	0.660	1.006	6.453
FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE FAN_EMBRYONIC_CTX_BIG_GROUPS_BRAIN_IMMUNE	-4.050	-0.391	-0.283	0.904	-0.528	-3.327	-0.283	1.834	3.833	0.319	-0.390
DESCARTES_MAIN_FETAL_SKELETAL_MUSCLE_CELLS DESCARTES_MAIN_FETAL_SKELETAL_MUSCLE_CELLS	-0.452	-1.150	-0.742	-2.889	1.690	1.690	-0.452	-2.889	0.262	0.351	4.485
DESCARTES_FETAL_STOMACH_SQUAMOUS_EPITHELIAL_CELLS DESCARTES_FETAL_STOMACH_SQUAMOUS_EPITHELIAL_CELLS	0.388	-0.884	-1.891	-2.779	0.582	4.694	-0.884	-0.884	-0.586	0.818	1.419
DESCARTES_FETAL_LIVER_LYMPHOID_CELLS DESCARTES_FETAL_LIVER_LYMPHOID_CELLS	-0.727	-1.609	-0.727	-2.573	0.459	0.788	0.331	-2.573	0.459	1.219	5.237
AIZARANI_LIVER_C2_KUPFFER_CELLS_1 AIZARANI_LIVER_C2_KUPFFER_CELLS_1	-0.904	-1.112	-0.342	-0.447	-0.447	-5.091	-0.447	0.860	2.973	3.614	-0.341
DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MAST_CELLS DURANTE_ADULT_OLFACTORY_NEUROEPITHELIUM_MAST_CELLS	-1.549	-1.549	-2.180	-0.505	-0.505	-1.091	-0.753	0.429	1.427	3.006	3.486
DESCARTES_FETAL_CEREBRUM_SKOR2_NPSR1_POSITIVE_CELLS DESCARTES_FETAL_CEREBRUM_SKOR2_NPSR1_POSITIVE_CELLS	0.539	-0.538	-1.477	-2.696	1.857	3.465	-1.477	-1.477	0.246	-0.538	1.859
DESCARTES_FETAL_MUSCLE_SMOOTH_MUSCLE_CELLS DESCARTES_FETAL_MUSCLE_SMOOTH_MUSCLE_CELLS	0.558	-2.290	-2.290	0.243	1.314	1.314	-0.819	-3.236	1.025	0.381	1.641
DESCARTES_FETAL_PLACENTA_IGFBP1_DKK1_POSITIVE_CELLS DESCARTES_FETAL_PLACENTA_IGFBP1_DKK1_POSITIVE_CELLS	1.032	-2.844	-1.732	-2.225	0.467	1.544	-1.334	-0.271	-0.552	1.839	2.507
DESCARTES_FETAL_LIVER_STELLATE_CELLS DESCARTES_FETAL_LIVER_STELLATE_CELLS	0.691	-0.693	-1.403	-2.118	0.691	3.254	-0.530	-0.693	-1.124	-1.403	4.386
DESCARTES_FETAL_PLACENTA_MYELOID_CELLS DESCARTES_FETAL_PLACENTA_MYELOID_CELLS	0.470	-1.731	-2.145	-0.652	-0.258	-0.851	-2.145	-0.652	2.875	2.875	1.934
HAY_BONE_MARROW_PLASMA_CELL HAY_BONE_MARROW_PLASMA_CELL	-0.795	-3.369	-0.595	-1.043	4.957	2.539	-1.043	0.548	0.291	-0.436	-0.435
DESCARTES_MAIN_FETAL_MICROGLIA DESCARTES_MAIN_FETAL_MICROGLIA	0.372	-0.732	-1.737	-0.570	-1.424	-2.102	-1.424	0.486	2.346	4.375	1.130
DESCARTES_FETAL_EYE_STROMAL_CELLS DESCARTES_FETAL_EYE_STROMAL_CELLS	0.362	0.362	-1.505	-1.505	0.941	2.168	-2.733	-2.032	-0.377	0.522	2.964
DESCARTES_FETAL_CEREBELLUM_PURKINJE_NEURONS DESCARTES_FETAL_CEREBELLUM_PURKINJE_NEURONS	2.365	-0.325	-1.392	-2.584	0.596	3.205	-0.711	-1.392	-1.392	-0.325	1.334
DESCARTES_MAIN_FETAL_VISCERAL_NEURONS DESCARTES_MAIN_FETAL_VISCERAL_NEURONS	0.636	-1.836	-0.457	-1.836	0.857	5.400	-1.336	-0.957	-0.957	0.301	1.115
DESCARTES_FETAL_INTESTINE_ENS_NEURONS DESCARTES_FETAL_INTESTINE_ENS_NEURONS	0.676	-0.543	-1.756	-3.134	1.457	2.552	-2.144	-0.906	0.676	-0.301	1.969
DESCARTES_FETAL_PANCREAS_MESOTHELIAL_CELLS DESCARTES_FETAL_PANCREAS_MESOTHELIAL_CELLS	-0.368	-1.643	0.381	-1.171	1.025	3.758	-0.819	-1.171	-2.290	0.243	2.393
LAKE_ADULT_KIDNEY_C15_CONNECTING_TUBULE LAKE_ADULT_KIDNEY_C15_CONNECTING_TUBULE	0.836	-0.293	-1.081	-0.861	-1.646	-4.891	-0.395	1.215	1.669	2.196	0.677
DESCARTES_FETAL_SPLEEN_MESOTHELIAL_CELLS DESCARTES_FETAL_SPLEEN_MESOTHELIAL_CELLS	1.279	-1.570	-1.061	-2.242	0.285	0.910	-2.242	-0.539	-0.417	1.488	4.099
DESCARTES_MAIN_FETAL_CHROMAFFIN_CELLS DESCARTES_MAIN_FETAL_CHROMAFFIN_CELLS	-0.434	-0.953	-0.953	0.457	0.821	4.848	-0.434	-0.953	-0.953	-0.953	0.822
DESCARTES_FETAL_LUNG_MYELOID_CELLS DESCARTES_FETAL_LUNG_MYELOID_CELLS	0.939	-3.012	-0.570	-1.155	-1.155	-0.926	-1.155	-0.327	1.335	2.643	2.960
BUSSLINGER_GASTRIC_LYZ_POSITIVE_CELLS BUSSLINGER_GASTRIC_LYZ_POSITIVE_CELLS	-0.930	4.856	1.681	0.261	-0.345	0.527	0.527	-0.493	-2.706	-1.237	-1.620
DESCARTES_FETAL_HEART_LYMPHOID_CELLS DESCARTES_FETAL_HEART_LYMPHOID_CELLS	-0.685	-0.685	-2.101	-1.237	-0.493	3.079	-0.493	-0.685	-0.685	0.527	4.860
AIZARANI_LIVER_C39_EPCAM_POS_BILE_DUCT_CELLS_4 AIZARANI_LIVER_C39_EPCAM_POS_BILE_DUCT_CELLS_4	-2.359	-0.548	-0.318	-0.318	-1.097	-1.637	-1.973	0.620	2.294	2.294	2.297
DESCARTES_FETAL_ADRENAL_SCHWANN_CELLS DESCARTES_FETAL_ADRENAL_SCHWANN_CELLS	0.396	-1.063	-0.813	-2.188	0.881	3.213	-1.063	-1.739	-0.610	0.396	3.216
