GO	[-10.12 -1.01]	[-1.01 -0.51]	[-0.51 -0.15]	[-0.15 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.19]	[0.19 0.61]	[0.61 1.73]	[1.73 23.61]
chrYp11 chrYp11	-0.754	-2.221	-4.726	1.273	4.104	3.669	3.669	0.628	-3.631	-2.838	-2.843
chr7q34 chr7q34	-0.594	-2.146	-2.146	1.743	1.505	2.271	2.560	0.463	-3.063	-0.759	-0.960
MT MT	0.359	0.614	0.359	-0.476	-1.532	-1.532	-1.532	-0.476	0.359	5.683	-0.477
chr21q11 chr21q11	0.409	-1.864	-1.123	-0.392	2.204	3.286	0.409	0.226	-1.864	-1.123	0.225
chrXp21 chrXp21	0.357	-2.859	-0.934	0.357	0.357	0.763	-0.251	-0.625	-1.361	-0.405	5.073
chr16q22 chr16q22	1.309	2.304	1.105	-0.940	-2.543	0.363	-3.602	-0.446	0.474	0.752	-0.448
chrXq27 chrXq27	-0.382	-1.196	-1.673	-0.382	1.277	2.750	2.333	-0.382	-1.196	-1.673	0.366
chr1q22 chr1q22	0.790	1.727	1.062	-0.389	-2.817	-1.330	-1.330	-0.389	1.062	1.062	-0.911
chr15q15 chr15q15	1.323	0.301	0.551	-1.249	-0.565	-3.717	-0.749	1.096	2.784	-0.417	-0.419
chr13q31 chr13q31	-0.324	-1.275	-0.938	-0.475	1.857	2.202	1.857	-1.706	-1.706	-0.475	0.574
chr7p22 chr7p22	1.190	4.361	0.577	-1.075	-0.596	-1.075	0.426	0.426	-0.596	-0.596	-2.319
chrXq26 chrXq26	-0.773	-1.562	-0.991	-0.991	1.944	0.994	1.676	0.809	-0.446	-2.363	0.991
chr1p33 chr1p33	0.363	-0.416	-1.569	0.814	-1.569	1.112	2.274	-1.033	0.363	0.814	-1.572
chr11p11 chr11p11	-0.607	1.246	0.274	-0.452	0.274	2.332	1.028	0.509	-3.824	-0.607	-1.036
chr9p12 chr9p12	-0.272	-0.272	-0.704	1.207	-0.272	1.821	1.821	-0.704	-0.704	-0.704	-0.705
chr2q22 chr2q22	-0.240	-0.605	-1.924	0.373	3.501	0.790	-0.240	0.790	-0.908	-1.330	-0.391
