GO	[-5.49 -0.65]	[-0.65 -0.36]	[-0.36 -0.21]	[-0.21 -0.09]	[-0.09 0.00]	[0.00 0.01]	[0.01 0.13]	[0.13 0.29]	[0.29 0.54]	[0.54 1.06]	[1.06 6.47]
MORF_AP3D1 MORF_AP3D1	-2.194	-0.320	2.512	1.593	1.593	-1.744	1.097	2.512	-0.448	-4.263	-5.446
GCM_TPT1 GCM_TPT1	-1.394	-0.961	-0.961	1.302	5.014	-0.647	4.434	0.739	-2.001	-2.907	-2.923
MORF_RAF1 MORF_RAF1	-2.711	0.704	2.003	2.707	2.707	-3.493	0.381	0.909	-0.345	-2.711	-4.604
GNF2_HMMR GNF2_HMMR	-0.431	6.473	5.006	0.598	-0.431	-1.949	-1.192	-1.192	-1.192	-1.949	-1.960
MORF_BUB1 MORF_BUB1	1.020	4.419	5.070	0.722	-0.534	-1.363	-1.363	-1.363	-2.157	-2.157	-2.170
GNF2_TTK GNF2_TTK	-0.283	7.017	3.943	0.556	-0.925	-1.617	-0.524	-1.617	-1.617	-1.617	-1.626
MODULE_122 MODULE_122	1.057	-2.040	-1.017	-3.103	-2.523	1.057	-2.523	0.679	-0.785	1.280	8.666
GNF2_MLH1 GNF2_MLH1	0.750	8.186	1.481	1.086	-1.024	-1.741	-1.024	-1.024	-1.741	-1.741	-1.751
MORF_CUL1 MORF_CUL1	-2.948	1.969	3.804	1.598	1.598	-2.037	-0.275	0.328	-0.987	-2.948	-2.965
MORF_EIF4E MORF_EIF4E	-0.982	2.427	3.757	2.427	0.617	-2.551	1.086	-1.871	-0.982	-2.551	-3.553
MORF_EI24 MORF_EI24	0.497	1.469	3.732	1.230	0.266	-2.096	1.730	0.371	-1.343	-3.881	-5.995
MORF_PAPSS1 MORF_PAPSS1	-2.471	-0.568	2.674	1.347	1.956	-2.471	2.302	0.853	-0.269	-3.227	-4.309
GNF2_CKS1B GNF2_CKS1B	0.359	11.368	0.942	-0.250	-1.534	-1.534	-0.476	-0.860	-0.860	-1.534	-1.543
MODULE_62 MODULE_62	-2.700	-0.538	-1.078	0.971	1.865	-2.700	3.957	3.035	0.541	-2.700	-2.719
MODULE_183 MODULE_183	-1.242	0.628	6.189	2.751	0.628	-1.821	0.423	-0.546	-1.821	-2.698	-2.714
GNF2_HAT1 GNF2_HAT1	0.318	7.571	1.098	1.098	-0.285	-2.074	0.318	-1.294	-2.074	-2.074	-2.086
MORF_ESPL1 MORF_ESPL1	0.316	4.712	5.340	0.499	-0.470	-1.678	-1.123	-0.287	-1.678	-2.532	-2.546
MORF_SART1 MORF_SART1	-1.182	-0.507	0.677	2.890	3.937	-1.749	1.598	0.460	-2.615	-2.615	-2.630
GCM_PSME1 GCM_PSME1	-0.982	0.834	3.285	0.834	1.086	-2.551	0.834	2.044	-1.871	-3.532	-3.553
MODULE_158 MODULE_158	0.454	9.817	0.717	0.454	-0.354	-1.783	-0.354	-1.057	-1.783	-1.783	-1.793
GNF2_MSH2 GNF2_MSH2	0.608	10.856	0.608	-0.579	-0.279	-1.160	-1.160	-1.160	-1.160	-1.160	-1.167
GNF2_SMC2L1 GNF2_SMC2L1	0.231	8.299	2.675	0.231	-0.733	-1.368	-0.733	-1.368	-1.368	-1.368	-1.375
GNF2_RRM2 GNF2_RRM2	-0.300	5.238	5.238	0.302	-0.300	-1.658	-0.958	-1.658	-0.958	-1.658	-1.668
MORF_MAP2K7 MORF_MAP2K7	2.448	0.541	-1.556	-2.264	0.680	7.578	-3.207	-1.029	-2.264	1.013	-0.838
MORF_MAP2K2 MORF_MAP2K2	-1.419	0.264	1.808	1.279	0.506	-1.419	1.532	3.926	-0.641	-3.485	-5.531
MODULE_126 MODULE_126	-0.513	6.559	6.107	-0.513	-0.513	-3.238	-0.838	-0.661	-0.391	-2.730	-0.853
GNF2_NPM1 GNF2_NPM1	-0.689	1.919	2.755	1.919	0.939	-2.990	0.690	0.315	-2.073	-2.990	-3.007
GNF2_HPX GNF2_HPX	1.709	-1.169	-1.169	-1.169	-2.905	6.015	-0.904	-2.905	-0.904	0.786	3.330
GCM_ZNF198 GCM_ZNF198	-1.410	0.301	0.427	7.523	0.758	-2.955	0.301	0.964	-0.301	-1.078	-4.898
GNF2_TPT1 GNF2_TPT1	-1.575	-0.893	-0.893	0.900	0.339	-0.500	9.056	0.900	-1.575	-1.575	-1.584
MORF_TERF1 MORF_TERF1	-0.860	0.605	3.165	3.165	1.832	-2.740	-0.566	0.406	-1.272	-2.740	-2.756
MODULE_57 MODULE_57	0.879	5.941	4.009	-0.977	-0.622	-2.323	-0.622	-2.323	-0.977	-0.381	-1.513
GNF2_S100A4 GNF2_S100A4	-1.949	-1.949	-1.192	-0.729	-1.192	-1.949	-0.729	1.625	0.370	2.569	5.688
GNF2_TDG GNF2_TDG	-0.796	5.233	4.466	0.404	-1.451	-1.451	-0.430	-0.218	-1.451	-1.451	-1.459
GNF2_RBBP6 GNF2_RBBP6	-0.987	1.969	2.819	4.345	0.328	-2.037	0.501	-0.668	-2.037	-2.037	-2.965
MORF_RPA1 MORF_RPA1	-0.714	4.213	2.617	2.161	0.758	-1.643	-1.093	-0.452	-1.643	-2.490	-2.504
MORF_GSPT1 MORF_GSPT1	-1.260	3.504	2.418	2.939	0.547	-2.032	-1.260	-0.270	-1.260	-2.032	-2.044
MODULE_289 MODULE_289	0.630	-2.019	-1.587	-3.201	-0.376	5.342	-1.587	-0.523	-1.233	0.630	4.820
MODULE_125 MODULE_125	0.431	8.675	0.685	0.685	-0.373	-1.824	-0.373	-0.650	-1.824	-1.824	-1.835
MODULE_436 MODULE_436	0.428	-1.233	-0.735	-5.751	-0.735	0.731	-0.553	-1.958	0.428	5.321	2.823
