GO	[-10.12 -0.93]	[-0.93 -0.56]	[-0.56 -0.31]	[-0.31 -0.08]	[-0.08 0.00]	[0.00 0.03]	[0.03 0.25]	[0.25 0.52]	[0.52 0.92]	[0.92 1.96]	[1.96 23.61]
CAHOY_NEURONAL CAHOY_NEURONAL	0.709	-1.801	-1.357	-4.158	0.709	3.239	-1.357	-0.521	0.249	-0.521	4.127
PTEN_DN.V1_UP PTEN_DN.V1_UP	3.562	-2.368	-1.100	-1.351	0.936	1.121	-1.980	-1.643	-0.885	-0.422	5.047
EGFR_UP.V1_UP EGFR_UP.V1_UP	-1.493	-2.555	-3.017	-0.635	-0.998	-0.635	1.374	0.317	1.374	2.358	3.252
IL21_UP.V1_UP IL21_UP.V1_UP	-0.301	0.301	-0.525	-1.312	1.595	-0.402	-1.599	-5.357	0.400	1.837	3.292
BRCA1_DN.V1_UP BRCA1_DN.V1_UP	0.373	-1.419	-2.253	-2.253	1.048	2.767	-0.850	-1.419	0.264	0.373	3.905
KRAS.LUNG_UP.V1_UP KRAS.LUNG_UP.V1_UP	-0.301	-0.301	-3.736	-1.985	1.102	2.152	0.552	-0.418	-1.985	-0.418	3.528
PTEN_DN.V1_DN PTEN_DN.V1_DN	0.301	-0.675	-3.267	-1.599	1.595	2.098	-0.301	-0.853	-1.064	-0.525	4.366
KRAS.LUNG_UP.V1_DN KRAS.LUNG_UP.V1_DN	-0.330	-0.802	-2.068	-0.802	1.759	2.044	-0.453	-1.321	-1.037	0.381	2.666
KRAS.KIDNEY_UP.V1_DN KRAS.KIDNEY_UP.V1_DN	-0.256	-0.256	-1.148	-0.672	-0.256	1.739	-1.148	-1.466	-0.672	0.478	3.793
