GO	[-6.53 -0.73]	[-0.73 -0.44]	[-0.44 -0.26]	[-0.26 -0.11]	[-0.11 -0.02]	[-0.02 0.00]	[0.00 0.07]	[0.07 0.18]	[0.18 0.39]	[0.39 0.93]	[0.93 15.11]
FAN_EMBRYONIC_CTX_MICROGLIA_1 FAN_EMBRYONIC_CTX_MICROGLIA_1	-4.304	-4.304	0.259	2.468	8.516	-1.986	0.357	4.252	0.774	-2.946	-6.440
ZHENG_CORD_BLOOD_C9_GRANULOCYTE_MACROPHAGE_PROGENITOR ZHENG_CORD_BLOOD_C9_GRANULOCYTE_MACROPHAGE_PROGENITOR	-4.151	-1.798	-3.107	2.072	6.772	-2.365	1.742	2.072	0.921	-1.798	-3.105
DESCARTES_FETAL_PANCREAS_ISLET_ENDOCRINE_CELLS DESCARTES_FETAL_PANCREAS_ISLET_ENDOCRINE_CELLS	2.081	2.368	1.331	-3.292	-4.707	4.863	0.355	-3.937	-3.292	-0.346	0.470
FAN_OVARY_CL0_XBP1_SELK_HIGH_STROMAL_CELL FAN_OVARY_CL0_XBP1_SELK_HIGH_STROMAL_CELL	-4.755	-3.869	0.265	1.719	2.622	-2.576	1.719	2.622	2.000	-1.054	-3.157
DESCARTES_FETAL_KIDNEY_STROMAL_CELLS DESCARTES_FETAL_KIDNEY_STROMAL_CELLS	1.932	0.778	0.965	-3.941	-3.941	2.226	-0.490	-3.941	-2.637	2.540	1.408
DESCARTES_FETAL_HEART_EPICARDIAL_FAT_CELLS DESCARTES_FETAL_HEART_EPICARDIAL_FAT_CELLS	0.905	6.416	1.136	-1.622	-2.101	0.261	-0.493	-4.568	-2.706	-0.345	1.683
DESCARTES_FETAL_LIVER_STELLATE_CELLS DESCARTES_FETAL_LIVER_STELLATE_CELLS	2.590	0.859	0.859	-2.118	-2.570	-0.398	-0.693	-3.732	-1.732	-0.293	7.082
DESCARTES_FETAL_PANCREAS_DUCTAL_CELLS DESCARTES_FETAL_PANCREAS_DUCTAL_CELLS	2.670	1.192	-0.400	-2.605	-2.605	1.192	-0.983	-3.263	-2.605	0.968	4.254
DESCARTES_FETAL_KIDNEY_METANEPHRIC_CELLS DESCARTES_FETAL_KIDNEY_METANEPHRIC_CELLS	1.227	1.710	1.710	-3.461	-2.852	2.914	-0.580	-2.341	-3.461	1.017	0.661
DESCARTES_FETAL_ADRENAL_CHROMAFFIN_CELLS DESCARTES_FETAL_ADRENAL_CHROMAFFIN_CELLS	2.078	2.414	0.311	-3.714	-2.913	3.157	-0.291	-1.787	-0.582	-0.792	0.440
CUI_DEVELOPING_HEART_C7_MAST_CELL CUI_DEVELOPING_HEART_C7_MAST_CELL	-5.223	-1.613	-0.621	1.157	2.468	-1.297	0.475	1.884	1.622	0.475	-1.984
DESCARTES_FETAL_MUSCLE_SATELLITE_CELLS DESCARTES_FETAL_MUSCLE_SATELLITE_CELLS	-0.235	-0.235	0.587	-1.536	-2.363	3.900	-2.363	-2.363	0.845	1.151	0.588
DESCARTES_FETAL_MUSCLE_SCHWANN_CELLS DESCARTES_FETAL_MUSCLE_SCHWANN_CELLS	1.767	0.984	-0.417	-1.055	-1.383	0.775	-4.817	-1.055	-1.055	0.594	3.994
DESCARTES_MAIN_FETAL_BIPOLAR_CELLS DESCARTES_MAIN_FETAL_BIPOLAR_CELLS	0.857	2.470	1.113	-1.836	-3.485	2.888	-0.671	-2.510	-0.671	0.451	-0.457
DESCARTES_MAIN_FETAL_INTESTINAL_EPITHELIAL_CELLS DESCARTES_MAIN_FETAL_INTESTINAL_EPITHELIAL_CELLS	0.968	0.376	1.529	-2.696	-1.999	4.435	0.246	-1.999	-1.999	0.246	0.540
DESCARTES_FETAL_CEREBRUM_SKOR2_NPSR1_POSITIVE_CELLS DESCARTES_FETAL_CEREBRUM_SKOR2_NPSR1_POSITIVE_CELLS	1.529	0.539	-0.364	-1.999	-1.999	3.021	0.737	-3.693	-0.771	-0.538	1.531
DESCARTES_FETAL_PANCREAS_ACINAR_CELLS DESCARTES_FETAL_PANCREAS_ACINAR_CELLS	0.404	0.783	0.404	-1.420	-2.621	4.083	1.298	-2.621	-1.420	0.404	0.268
DESCARTES_FETAL_ADRENAL_VASCULAR_ENDOTHELIAL_CELLS DESCARTES_FETAL_ADRENAL_VASCULAR_ENDOTHELIAL_CELLS	0.581	-0.283	1.637	-3.654	-1.926	0.934	-0.940	-1.926	-0.539	1.637	2.541
DESCARTES_FETAL_EYE_SKELETAL_MUSCLE_CELLS DESCARTES_FETAL_EYE_SKELETAL_MUSCLE_CELLS	0.481	3.741	0.616	-2.251	-2.251	0.946	-0.337	-0.974	-1.853	0.268	1.358
DESCARTES_FETAL_EYE_GANGLION_CELLS DESCARTES_FETAL_EYE_GANGLION_CELLS	-0.256	1.180	3.016	-1.225	-1.990	1.180	-0.755	-1.225	-1.225	-0.256	0.849
DESCARTES_FETAL_SPLEEN_MEGAKARYOCYTES DESCARTES_FETAL_SPLEEN_MEGAKARYOCYTES	0.527	0.261	0.527	-0.685	-1.237	-1.622	-2.101	0.261	-0.930	1.681	4.382
DESCARTES_FETAL_EYE_PHOTORECEPTOR_CELLS DESCARTES_FETAL_EYE_PHOTORECEPTOR_CELLS	2.545	2.077	0.258	-1.431	-2.239	0.945	0.435	-1.431	-0.578	-0.348	-0.577
DESCARTES_MAIN_FETAL_ASTROCYTES DESCARTES_MAIN_FETAL_ASTROCYTES	1.513	1.513	0.334	-1.259	-2.031	0.814	0.334	-2.031	-0.782	-0.471	1.139
HAY_BONE_MARROW_EARLY_ERYTHROBLAST HAY_BONE_MARROW_EARLY_ERYTHROBLAST	-2.197	-0.897	-0.447	0.441	1.319	-2.197	1.052	1.052	2.299	-0.641	-0.640
DESCARTES_MAIN_FETAL_MUC13_DMBT1_POSITIVE_CELLS DESCARTES_MAIN_FETAL_MUC13_DMBT1_POSITIVE_CELLS	0.611	0.805	-0.424	-0.601	-1.949	2.947	-0.424	-0.829	-2.534	0.312	1.562
DESCARTES_FETAL_PLACENTA_STROMAL_CELLS DESCARTES_FETAL_PLACENTA_STROMAL_CELLS	1.081	0.632	1.352	-2.882	-0.875	0.632	-0.624	-1.201	-1.201	0.313	1.989
DESCARTES_FETAL_CEREBELLUM_INHIBITORY_INTERNEURONS DESCARTES_FETAL_CEREBELLUM_INHIBITORY_INTERNEURONS	1.129	0.784	1.535	-1.699	-1.699	1.129	-0.318	-0.991	-0.991	0.285	0.285
CUI_DEVELOPING_HEART_TRABECULAR_ATRIAL_CARDIOMYOCYTE CUI_DEVELOPING_HEART_TRABECULAR_ATRIAL_CARDIOMYOCYTE	-1.230	-1.508	-0.270	0.867	1.243	-3.711	0.867	1.243	0.867	0.441	-0.619
DESCARTES_MAIN_FETAL_SQUAMOUS_EPITHELIAL_CELLS DESCARTES_MAIN_FETAL_SQUAMOUS_EPITHELIAL_CELLS	0.321	0.968	0.595	-1.276	-1.276	2.670	-0.282	-1.276	-2.072	0.321	1.194
DESCARTES_FETAL_EYE_LENS_FIBRE_CELLS DESCARTES_FETAL_EYE_LENS_FIBRE_CELLS	0.941	-0.247	0.522	-0.377	-1.102	2.961	-0.791	-0.555	-1.505	-1.505	1.494
DESCARTES_FETAL_PANCREAS_LYMPHOID_CELLS DESCARTES_FETAL_PANCREAS_LYMPHOID_CELLS	1.209	0.395	0.395	-1.780	-1.162	1.006	0.518	-2.628	-0.555	-0.310	2.218
DESCARTES_MAIN_FETAL_ANTIGEN_PRESENTING_CELLS DESCARTES_MAIN_FETAL_ANTIGEN_PRESENTING_CELLS	0.513	1.227	-0.759	-0.759	-3.461	-0.759	0.828	-0.435	-0.580	1.710	1.229
DESCARTES_FETAL_PLACENTA_TROPHOBLAST_GIANT_CELLS DESCARTES_FETAL_PLACENTA_TROPHOBLAST_GIANT_CELLS	0.488	-0.268	-0.268	-1.563	-0.589	0.889	0.337	-1.151	-1.563	0.337	3.732
