GO	[-6.60 -0.70]	[-0.70 -0.21]	[-0.21 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.00]	[0.00 0.09]	[0.09 0.51]	[0.51 6.33]
WP_SIGNALING_PATHWAYS_IN_GLIOBLASTOMA WP_SIGNALING_PATHWAYS_IN_GLIOBLASTOMA	-1.080	-0.521	-1.080	1.095	-0.240	-1.080	1.590	0.687	1.590	-1.080	-0.246
RIZ_ERYTHROID_DIFFERENTIATION RIZ_ERYTHROID_DIFFERENTIATION	0.285	0.503	0.285	-0.996	-1.709	1.551	2.023	0.503	-1.709	-0.996	0.277
ROSS_AML_WITH_MLL_FUSIONS ROSS_AML_WITH_MLL_FUSIONS	-0.830	0.567	2.164	-0.351	1.530	-0.830	-0.830	-0.830	-0.830	0.256	0.557
REACTOME_EUKARYOTIC_TRANSLATION_INITIATION REACTOME_EUKARYOTIC_TRANSLATION_INITIATION	-0.510	-1.764	-1.764	0.682	0.461	-0.315	-0.791	-0.510	-0.315	1.262	3.400
WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_UP WATANABE_RECTAL_CANCER_RADIOTHERAPY_RESPONSIVE_UP	-0.767	-0.408	-0.767	2.602	0.720	1.087	-1.415	0.428	-0.408	0.428	-1.433
FONTAINE_THYROID_TUMOR_UNCERTAIN_MALIGNANCY_UP FONTAINE_THYROID_TUMOR_UNCERTAIN_MALIGNANCY_UP	0.579	-0.456	-0.456	-0.456	-0.456	-0.456	0.187	3.783	-0.456	0.579	-0.462
WAKABAYASHI_ADIPOGENESIS_PPARG_RXRA_BOUND_WITH_H4K20ME1_MARK WAKABAYASHI_ADIPOGENESIS_PPARG_RXRA_BOUND_WITH_H4K20ME1_MARK	3.146	0.933	0.303	-0.611	-0.611	-0.299	0.303	-1.206	0.574	-1.206	-0.622
MCBRYAN_PUBERTAL_BREAST_5_6WK_DN MCBRYAN_PUBERTAL_BREAST_5_6WK_DN	-2.087	-0.494	0.318	1.107	-0.814	-0.285	-0.814	3.463	-0.285	0.318	-0.294
SILIGAN_BOUND_BY_EWS_FLT1_FUSION SILIGAN_BOUND_BY_EWS_FLT1_FUSION	4.091	-0.414	0.211	-0.414	0.211	-0.414	-0.414	-0.414	-0.414	0.641	-0.420
GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_DN GINESTIER_BREAST_CANCER_20Q13_AMPLIFICATION_DN	-0.544	-2.281	-0.804	0.583	0.253	1.072	1.072	2.092	0.398	-0.804	-1.183
REACTOME_G_ALPHA_S_SIGNALLING_EVENTS REACTOME_G_ALPHA_S_SIGNALLING_EVENTS	-0.456	3.783	-0.456	-0.456	-0.456	0.187	-0.456	0.187	-0.456	0.579	0.184
HOSHIDA_LIVER_CANCER_SURVIVAL_UP HOSHIDA_LIVER_CANCER_SURVIVAL_UP	-0.497	1.055	2.560	-0.497	0.525	-0.497	0.166	-0.497	-0.497	0.166	-0.504
CHIARETTI_ACUTE_LYMPHOBLASTIC_LEUKEMIA_ZAP70 CHIARETTI_ACUTE_LYMPHOBLASTIC_LEUKEMIA_ZAP70	-0.497	-0.497	2.560	-0.497	0.166	-0.497	1.055	0.525	-0.497	-0.497	0.163
